"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"389","cooperation of public authorities and local stakeholders public policy-IPD-a5073","218-IPD-a5073","A5073","A5073","Cooperation of public authorities and local stakeholders: public policy","IPD",NA,"A5073","A5073","Index",4.929,"Public Sector Management","Administrative and Policymaking capacity","Other","Cooperation of public authorities and local stakeholders: public policy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD141",NA,"GOV","218-IPD-a5073",NA
"390","cooperation of public authorities and local stakeholders public policy-IPD-a5073","541-IPD-a5073","a5073","a5073","Cooperation of public authorities and local stakeholders: public policy","IPD",NA,"A5073","A5073","Index",4.929,"Public Sector Management","Administrative and Policymaking capacity","Other","Cooperation of public authorities and local stakeholders: public policy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD141",NA,"GOV","541-IPD-a5073",NA
"391","cooperation privatepublic sectors general interest-IPD-a5002","234-IPD-a5002","A5002","A5002","Cooperation privatepublic sectors: general interest","IPD",NA,"A5002","A5002","Index",4.884,"Public Sector Management","Administrative and Policymaking capacity","Other","Cooperation privatepublic sectors: general interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD143",NA,"GOV","234-IPD-a5002",NA
"392","cooperation privatepublic sectors general interest-IPD-a5002","558-IPD-a5002","a5002","a5002","Cooperation privatepublic sectors: general interest","IPD",NA,"A5002","A5002","Index",4.884,"Public Sector Management","Administrative and Policymaking capacity","Other","Cooperation privatepublic sectors: general interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD143",NA,"GOV","558-IPD-a5002",NA
"393","cooperation privatepublic sectors involvement by the state-IPD-a5001","235-IPD-a5001","A5001","A5001","Cooperation privatepublic sectors: involvement by the State","IPD",NA,"A5001","A5001","Index",4.058,"Public Sector Management","Administrative and Policymaking capacity","Other","Cooperation privatepublic sectors: involvement by the State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD144",NA,"GOV","235-IPD-a5001",NA
"394","cooperation privatepublic sectors involvement by the state-IPD-a5001","559-IPD-a5001","a5001","a5001","Cooperation privatepublic sectors: involvement by the State","IPD",NA,"A5001","A5001","Index",4.058,"Public Sector Management","Administrative and Policymaking capacity","Other","Cooperation privatepublic sectors: involvement by the State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD144",NA,"GOV","559-IPD-a5001",NA
"395","cooperation privatepublic sectors-IPD-a5000","560-IPD-a5000","a5000","a5000","Cooperation privatepublic sectors","IPD",NA,"A5000","A5000","Index",4.146,"Public Sector Management","Administrative and Policymaking capacity","Other","Cooperation privatepublic sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD142",NA,"GOV","560-IPD-a5000",NA
"396","cooperation privatepublic sectors-IPD-a5000","236-IPD-a5000","A5000","A5000","Cooperation privatepublic sectors","IPD",NA,"A5000","A5000","Index",4.146,"Public Sector Management","Administrative and Policymaking capacity","Other","Cooperation privatepublic sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD142",NA,"GOV","236-IPD-a5000",NA
"397","coordination and cooperation between ministries-IPD-a5010","1087-IPD-a5010","A5010","A5010","Coordination and cooperation between ministries","IPD",NA,"A5010","A5010","Index",4.312,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordination and cooperation between ministries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD145.1",NA,"GOV","1087-IPD-a5010",NA
"398","coordination and cooperation between ministries-IPD-a5080","1270-IPD-a5080","A5080","A5080","Coordination and cooperation between ministries","IPD",NA,"A5080","A5080","Index",4.312,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordination and cooperation between ministries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD145.2",NA,"GOV","1270-IPD-a5080",NA
"399","coordination and cooperation within the administrations-IPD-a5011","1088-IPD-a5011","A5011","A5011","Coordination and cooperation within the administrations","IPD",NA,"A5011","A5011","Index",4.037,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordination and cooperation within the administrations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD146.1",NA,"GOV","1088-IPD-a5011",NA
"400","coordination and cooperation within the administrations-IPD-a5081","1271-IPD-a5081","A5081","A5081","Coordination and cooperation within the administrations","IPD",NA,"A5081","A5081","Index",4.037,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordination and cooperation within the administrations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD146.2",NA,"GOV","1271-IPD-a5081",NA
"401","coordination between ministries and within the administrations-IPD-a508","1269-IPD-a508","A508","A508","Coordination between ministries and within the administrations","IPD",NA,"A508","A508","Index",4.154,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordination between ministries and within the administrations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD147",NA,"GOV","1269-IPD-a508",NA
"402","coordinationcollaboration between ministries-IPD-a5010","557-IPD-a5010","a5010","a5010","Coordinationcollaboration: between ministries","IPD",NA,"A5010","A5010","Index",4.508,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordinationcollaboration: between ministries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD148",NA,"GOV","557-IPD-a5010",NA
"403","coordinationcollaboration between ministries-IPD-a5010","233-IPD-a5010","A5010","A5010","Coordinationcollaboration: between ministries","IPD",NA,"A5010","A5010","Index",4.508,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordinationcollaboration: between ministries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD148",NA,"GOV","233-IPD-a5010",NA
"404","coordinationcollaboration within administration-IPD-a5011","556-IPD-a5011","a5011","a5011","Coordinationcollaboration: within administration","IPD",NA,"A5011","A5011","Index",4.479,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordinationcollaboration: within administration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD149",NA,"GOV","556-IPD-a5011",NA
"405","coordinationcollaboration within administration-IPD-a5011","232-IPD-a5011","A5011","A5011","Coordinationcollaboration: within administration","IPD",NA,"A5011","A5011","Index",4.479,"Public Sector Management","Administrative and Policymaking capacity","Other","Coordinationcollaboration: within administration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD149",NA,"GOV","232-IPD-a5011",NA
"406","corruption  corruption-IPD-a302","1193-IPD-a302","A302","A302","Corruption  Corruption","IPD",NA,"A302","A302","Index",4.041,"Absence of Corruption","Incidence","Other","Corruption  Corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD150",NA,"GOV","1193-IPD-a302",NA
"407","corruption between administrations and foreign businesses-IPD-a3023","266-IPD-a3023","A3023","A3023","Corruption: between administrations and foreign businesses","IPD",NA,"A3023","A3023","Index",4.035,"Absence of Corruption","Incidence","Other","Corruption: between administrations and foreign businesses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD151",NA,"GOV","266-IPD-a3023",NA
"408","corruption between administrations and foreign businesses-IPD-a3023","597-IPD-a3023","a3023","a3023","Corruption: between administrations and foreign businesses","IPD",NA,"A3023","A3023","Index",4.035,"Absence of Corruption","Incidence","Other","Corruption: between administrations and foreign businesses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD151",NA,"GOV","597-IPD-a3023",NA
"409","corruption between administrations and local businesses-IPD-a3022","267-IPD-a3022","A3022","A3022","Corruption: between administrations and local businesses","IPD",NA,"A3022","A3022","Index",4.045,"Absence of Corruption","Incidence","Other","Corruption: between administrations and local businesses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD152",NA,"GOV","267-IPD-a3022",NA
"410","corruption between administrations and local businesses-IPD-a3022","598-IPD-a3022","a3022","a3022","Corruption: between administrations and local businesses","IPD",NA,"A3022","A3022","Index",4.045,"Absence of Corruption","Incidence","Other","Corruption: between administrations and local businesses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD152",NA,"GOV","598-IPD-a3022",NA
"411","credit quantitative control-IPD-c4011","406-IPD-c4011","c4011","c4011","Credit: quantitative control","IPD",NA,"C4011","C4011","Index",4.243,"Public Sector Management","Financial System","Other","Credit: quantitative control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD153",NA,"GOV","406-IPD-c4011",NA
"412","credit quantitative control-IPD-c4011","84-IPD-c4011","C4011","C4011","Credit: quantitative control","IPD",NA,"C4011","C4011","Index",4.243,"Public Sector Management","Financial System","Other","Credit: quantitative control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD153",NA,"GOV","84-IPD-c4011",NA
"413","currency convertibility-IPD-b8000","92-IPD-b8000","B8000","B8000","Currency convertibility","IPD",NA,"B8000","B8000","Index",4.124,"Public Sector Management","Financial System","Other","Currency convertibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD154",NA,"GOV","92-IPD-b8000",NA
"414","currency convertibility-IPD-b8000","415-IPD-b8000","b8000","b8000","Currency convertibility","IPD",NA,"B8000","B8000","Index",4.124,"Public Sector Management","Financial System","Other","Currency convertibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD154",NA,"GOV","415-IPD-b8000",NA
"415","de facto equality of treatment for foreigners-IPD-a3071","1226-IPD-a3071","A3071","A3071","De facto equality of treatment for foreigners","IPD",NA,"A3071","A3071","Index",4.108,"Fairness and equity","Equal treatment","Other","De facto equality of treatment for foreigners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD155",NA,"GOV","1226-IPD-a3071",NA
"416","de facto equality of treatment of citizens before the law-IPD-a3051","1056-IPD-a3051","A3051","A3051","De facto equality of treatment of citizens before the law","IPD",NA,"A3051","A3051","Index",4.025,"Fairness and equity","Equal treatment","Other","De facto equality of treatment of citizens before the law",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD156",NA,"GOV","1056-IPD-a3051",NA
"417","de facto equality of treatment of foreigners compared with nationals-IPD-a3052","1057-IPD-a3052","A3052","A3052","De facto equality of treatment of foreigners (compared with nationals)","IPD",NA,"A3052","A3052","Index",4.01,"Fairness and equity","Equal treatment","Other","De facto equality of treatment of foreigners (compared with nationals)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD157",NA,"GOV","1057-IPD-a3052",NA
"418","de facto obstacles of an administrative nature red tape etc-IPD-b7000","100-IPD-b7000","B7000","B7000","De facto obstacles of an administrative nature (red tape, etc)","IPD",NA,"B7000","B7000","Index",5.013,"Checks and Balances","Power and influence of important actors","Other","De facto obstacles of an administrative nature (red tape etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD158",NA,"GOV","100-IPD-b7000",NA
"419","de facto obstacles of an administrative nature red tape etc-IPD-b7000","423-IPD-b7000","b7000","b7000","De facto obstacles of an administrative nature (red tape, etc)","IPD",NA,"B7000","B7000","Index",5.013,"Checks and Balances","Power and influence of important actors","Other","De facto obstacles of an administrative nature (red tape etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD158",NA,"GOV","423-IPD-b7000",NA
"420","de facto obstacles related to established competing firms practices-IPD-b7001","99-IPD-b7001","B7001","B7001","De facto obstacles related to established competing firms practices","IPD",NA,"B7001","B7001","Index",5.709,"Checks and Balances","Power and influence of important actors","Other","De facto obstacles related to established competing firms practices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD159",NA,"GOV","99-IPD-b7001",NA
"421","de facto obstacles related to established competing firms practices-IPD-b7001","422-IPD-b7001","b7001","b7001","De facto obstacles related to established competing firms practices","IPD",NA,"B7001","B7001","Index",5.709,"Checks and Balances","Power and influence of important actors","Other","De facto obstacles related to established competing firms practices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD159",NA,"GOV","422-IPD-b7001",NA
"422","de facto or de jure wage indexation to inflation-IPD-d4002","653-IPD-d4002","D4002","D4002","De facto or de jure wage indexation to inflation","IPD",NA,"D4002","D4002","Index",4.128,"Fairness and equity","Social protection and labor","Other","De facto or de jure wage indexation to inflation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD160",NA,"GOV","653-IPD-d4002",NA
"423","decisionmaking capacity of the political authorities in economic matters responsibility rapidity etc-IPD-a5100","1275-IPD-a5100","A5100","A5100","Decisionmaking capacity of the political authorities in economic matters (responsibility, rapidity, etc)","IPD",NA,"A5100","A5100","Index",4.763,"Public Sector Management","Administrative and Policymaking capacity","Other","Decisionmaking capacity of the political authorities in economic matters (responsibility rapidity etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD161",NA,"GOV","1275-IPD-a5100",NA
"424","decompartmentalisation of the financial institutions-IPD-c4533","809-IPD-c4533","C4533","C4533","Decompartmentalisation of the financial institutions","IPD",NA,"C4533","C4533","Index",4.777,"Public Sector Management","Financial System","Other","Decompartmentalisation of the financial institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD162",NA,"GOV","809-IPD-c4533",NA
"425","degree of application and rapidity of legal rulings on commercial matters-IPD-a6053","1318-IPD-a6053","A6053","A6053","Degree of application and rapidity of legal rulings on commercial matters","IPD",NA,"A6053","A6053","Index",4.354,"Public Sector Management","Enforcement","Other","Degree of application and rapidity of legal rulings on commercial matters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD163",NA,"GOV","1318-IPD-a6053",NA
"426","degree of application and speed of rulings-IPD-a3072","1227-IPD-a3072","A3072","A3072","Degree of application and speed of rulings","IPD",NA,"A3072","A3072","Index",4.274,"Public Sector Management","Enforcement","Other","Degree of application and speed of rulings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD164",NA,"GOV","1227-IPD-a3072",NA
"427","degree of concentration of private media-IPD-a1021","1174-IPD-a1021","A1021","A1021","Degree of concentration of private media","IPD",NA,"A1021","A1021","Index",4.397,"Citizen Engagement","Freedom of expression","Other","Degree of concentration of private media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD165",NA,"GOV","1174-IPD-a1021",NA
"428","degree of municipal authorities autonomy in tax matters-IPD-a1040","1179-IPD-a1040","A1040","A1040","Degree of municipal authorities autonomy in tax matters","IPD",NA,"A1040","A1040","Index",4.281,"Public Sector Management","Tax and Customs","Other","Degree of municipal authorities autonomy in tax matters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD166",NA,"GOV","1179-IPD-a1040",NA
"429","degree of other local authorities autonomy in tax matters states in the case of federations regions provinces etc-IPD-a1041","1180-IPD-a1041","A1041","A1041","Degree of other local authorities autonomy in tax matters (States in the case of federations, Regions, Provinces, etc)","IPD",NA,"A1041","A1041","Index",4.424,"Public Sector Management","Tax and Customs","Other","Degree of other local authorities autonomy in tax matters (States in the case of federations Regions Provinces etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD167",NA,"GOV","1180-IPD-a1041",NA
"430","demands of workers and employers organisations taken into account-IPD-d7020","28-IPD-d7020","D7020","D7020","Demands of workers and employers organisations taken into account","IPD",NA,"D7020","D7020","Index",4.024,"Fairness and equity","Social protection and labor","Other","Demands of workers and employers organisations taken into account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD168",NA,"GOV","28-IPD-d7020",NA
"431","demands of workers and employers organisations taken into account-IPD-d7020","349-IPD-d7020","d7020","d7020","Demands of workers and employers organisations taken into account","IPD",NA,"D7020","D7020","Index",4.024,"Fairness and equity","Social protection and labor","Other","Demands of workers and employers organisations taken into account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD168",NA,"GOV","349-IPD-d7020",NA
"432","development of the middle classes living standards and social status-IPD-a9021","506-IPD-a9021","a9021","a9021","Development of the middle classes: living standards and social status","IPD",NA,"A9021","A9021","Index",4.061,"Fairness and equity","Redistribution mechanism","Other","Development of the middle classes: living standards and social status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD170",NA,"GOV","506-IPD-a9021",NA
"433","development of the middle classes living standards and social status-IPD-a9021","183-IPD-a9021","A9021","A9021","Development of the middle classes: living standards and social status","IPD",NA,"A9021","A9021","Index",4.061,"Fairness and equity","Redistribution mechanism","Other","Development of the middle classes: living standards and social status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD170",NA,"GOV","183-IPD-a9021",NA
"434","development of the middle classes size-IPD-a9020","507-IPD-a9020","a9020","a9020","Development of the middle classes: size","IPD",NA,"A9020","A9020","Index",4.014,"Fairness and equity","Redistribution mechanism","Other","Development of the middle classes: size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD171",NA,"GOV","507-IPD-a9020",NA
"435","development of the middle classes size-IPD-a9020","184-IPD-a9020","A9020","A9020","Development of the middle classes: size","IPD",NA,"A9020","A9020","Index",4.014,"Fairness and equity","Redistribution mechanism","Other","Development of the middle classes: size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD171",NA,"GOV","184-IPD-a9020",NA
"436","development of venture capital-IPD-c5010","402-IPD-c5010","c5010","c5010","Development of venture capital","IPD",NA,"C5010","C5010","Index",4.727,"Public Sector Management","Financial System","Other","Development of venture capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD172",NA,"GOV","402-IPD-c5010",NA
"437","development of venture capital-IPD-c5010","80-IPD-c5010","C5010","C5010","Development of venture capital","IPD",NA,"C5010","C5010","Index",4.727,"Public Sector Management","Financial System","Other","Development of venture capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD172",NA,"GOV","80-IPD-c5010",NA
"438","developmenteconomic growth political priority-IPD-a5050","547-IPD-a5050","a5050","a5050","Developmenteconomic growth: political priority","IPD",NA,"A5050","A5050","Index",5.07,"Public Sector Management","Administrative and Policymaking capacity","Other","Developmenteconomic growth: political priority",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD173",NA,"GOV","547-IPD-a5050",NA
"439","developmenteconomic growth political priority-IPD-a5050","224-IPD-a5050","A5050","A5050","Developmenteconomic growth: political priority","IPD",NA,"A5050","A5050","Index",5.07,"Public Sector Management","Administrative and Policymaking capacity","Other","Developmenteconomic growth: political priority",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD173",NA,"GOV","224-IPD-a5050",NA
"440","developmenteconomic growth public sector elite-IPD-a5051","223-IPD-a5051","A5051","A5051","Developmenteconomic growth: public sector elite","IPD",NA,"A5051","A5051","Index",4.239,"Public Sector Management","Administrative and Policymaking capacity","Other","Developmenteconomic growth: public sector elite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD174",NA,"GOV","223-IPD-a5051",NA
"441","developmenteconomic growth public sector elite-IPD-a5051","546-IPD-a5051","a5051","a5051","Developmenteconomic growth: public sector elite","IPD",NA,"A5051","A5051","Index",4.239,"Public Sector Management","Administrative and Policymaking capacity","Other","Developmenteconomic growth: public sector elite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD174",NA,"GOV","546-IPD-a5051",NA
"442","dialogue structures headed by the political authority to find a common interest among stakeholders-IPD-a505","1263-IPD-a505","A505","A505","Dialogue structures headed by the political authority to find a common interest among stakeholders","IPD",NA,"A505","A505","Index",4.162,"Checks and Balances","Power and influence of important actors","Other","Dialogue structures headed by the political authority to find a common interest among stakeholders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD175",NA,"GOV","1263-IPD-a505",NA
"443","did the current head of state or government come to power in compliance with the changed rules in force at the moment of hisher accession election dynastic succession etc-IPD-a1051","1014-IPD-a1051","A1051","A1051","Did the current head of state or government come to power in compliance with the (changed) rules in force at the moment of hisher accession (election, dynastic succession, etc.)?","IPD",NA,"A1051","A1051","Index",4.122,"Political Accountability","Public Accountability Mechanisns","Other","Did the current head of state or government come to power in compliance with the (changed) rules in force at the moment of hisher accession (election dynastic succession etc.)?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD176",NA,"GOV","1014-IPD-a1051",NA
"444","difference between local and international capital adequacy standards cooke ratio etc-IPD-c7020","773-IPD-c7020","C7020","C7020","Difference between local and international capital adequacy standards (Cooke ratio, etc)","IPD",NA,"C7020","C7020","Index",4.888,"Public Sector Management","Financial System","Other","Difference between local and international capital adequacy standards (Cooke ratio etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD177",NA,"GOV","773-IPD-c7020",NA
"445","difference between local and international standards in terms of rules limiting banks external exposure-IPD-c7023","776-IPD-c7023","C7023","C7023","Difference between local and international standards in terms of rules limiting banks external exposure","IPD",NA,"C7023","C7023","Index",4.921,"Public Sector Management","Financial System","Other","Difference between local and international standards in terms of rules limiting banks external exposure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD178",NA,"GOV","776-IPD-c7023",NA
"446","difference between local and international standards in terms of rules limiting concentration of loans to particular borrowers-IPD-c7022","775-IPD-c7022","C7022","C7022","Difference between local and international standards in terms of rules limiting concentration of loans to particular borrowers","IPD",NA,"C7022","C7022","Index",4.395,"Public Sector Management","Financial System","Other","Difference between local and international standards in terms of rules limiting concentration of loans to particular borrowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD179",NA,"GOV","775-IPD-c7022",NA
"447","difference between local and international standards in terms of rules limiting sector concentration of loans-IPD-c7021","774-IPD-c7021","C7021","C7021","Difference between local and international standards in terms of rules limiting sector concentration of loans","IPD",NA,"C7021","C7021","Index",4.303,"Public Sector Management","Financial System","Other","Difference between local and international standards in terms of rules limiting sector concentration of loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD180",NA,"GOV","774-IPD-c7021",NA
"448","diplomaticmilitary tensions with the international community-IPD-a2031","1039-IPD-a2031","A2031","A2031","Diplomaticmilitary tensions with the international community","IPD",NA,"A2031","A2031","Index",4.056,"Security","Police and Military","Other","Diplomaticmilitary tensions with the international community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD181",NA,"GOV","1039-IPD-a2031",NA
"449","direct commodity price subsidies-IPD-a9080f","1157-IPD-a9080f","A9080f","A9080f","Direct commodity price subsidies","IPD",NA,"A9080F","A9080F","Index",4.233,"Fairness and equity","Redistribution mechanism","Other","Direct commodity price subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD182",NA,"GOV","1157-IPD-a9080f",NA
"450","direct subsidies on prices of primary products-IPD-b4031","930-IPD-b4031","B4031","B4031","Direct subsidies on prices of primary products","IPD",NA,"B4031","B4031","Index",4.039,"Fairness and equity","Redistribution mechanism","Other","Direct subsidies on prices of primary products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD183",NA,"GOV","930-IPD-b4031",NA
"451","direct subsidies on primary product prices for the benefit of the consumer inversed score-IPD-a9021","1353-IPD-a9021","A9021","A9021","Direct subsidies on primary product prices for the benefit of the consumer (inversed score)","IPD",NA,"A9021","A9021","Index",4.142,"Fairness and equity","Redistribution mechanism","Other","Direct subsidies on primary product prices for the benefit of the consumer (inversed score)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD184",NA,"GOV","1353-IPD-a9021",NA
"452","discrimination on grounds of ethnicity caste-IPD-a9031","503-IPD-a9031","a9031","a9031","Discrimination: on grounds of ethnicity, caste","IPD",NA,"A9031","A9031","Index",4.199,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of ethnicity caste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD187",NA,"GOV","503-IPD-a9031",NA
"453","discrimination on grounds of ethnicity caste-IPD-a9031","180-IPD-a9031","A9031","A9031","Discrimination: on grounds of ethnicity, caste","IPD",NA,"A9031","A9031","Index",4.199,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of ethnicity caste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD187",NA,"GOV","180-IPD-a9031",NA
"454","discrimination on grounds of gender-IPD-a9030","181-IPD-a9030","A9030","A9030","Discrimination: on grounds of gender","IPD",NA,"A9030","A9030","Index",4.154,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of gender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD188",NA,"GOV","181-IPD-a9030",NA
"455","discrimination on grounds of gender-IPD-a9030","504-IPD-a9030","a9030","a9030","Discrimination: on grounds of gender","IPD",NA,"A9030","A9030","Index",4.154,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of gender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD188",NA,"GOV","504-IPD-a9030",NA
"456","discrimination on grounds of geographical origin-IPD-a9034","177-IPD-a9034","A9034","A9034","Discrimination: on grounds of geographical origin","IPD",NA,"A9034","A9034","Index",4.052,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of geographical origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD189",NA,"GOV","177-IPD-a9034",NA
"457","discrimination on grounds of geographical origin-IPD-a9034","500-IPD-a9034","a9034","a9034","Discrimination: on grounds of geographical origin","IPD",NA,"A9034","A9034","Index",4.052,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of geographical origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD189",NA,"GOV","500-IPD-a9034",NA
"458","discrimination on grounds of regional origin-IPD-a9033","501-IPD-a9033","a9033","a9033","Discrimination: on grounds of regional origin","IPD",NA,"A9033","A9033","Index",4.193,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of regional origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD190",NA,"GOV","501-IPD-a9033",NA
"459","discrimination on grounds of regional origin-IPD-a9033","178-IPD-a9033","A9033","A9033","Discrimination: on grounds of regional origin","IPD",NA,"A9033","A9033","Index",4.193,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of regional origin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD190",NA,"GOV","178-IPD-a9033",NA
"460","discrimination on grounds of religion-IPD-a9032","502-IPD-a9032","a9032","a9032","Discrimination: on grounds of religion","IPD",NA,"A9032","A9032","Index",4.209,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD191",NA,"GOV","502-IPD-a9032",NA
"461","discrimination on grounds of religion-IPD-a9032","179-IPD-a9032","A9032","A9032","Discrimination: on grounds of religion","IPD",NA,"A9032","A9032","Index",4.209,"Fairness and equity","Equal treatment","Other","Discrimination: on grounds of religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD191",NA,"GOV","179-IPD-a9032",NA
"462","discrimination on the labour market communitybased-IPD-d9011","339-IPD-d9011","d9011","d9011","Discrimination on the labour market: communitybased","IPD",NA,"D9011","D9011","Index",4.022,"Fairness and equity","Equal treatment","Other","Discrimination on the labour market: communitybased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD185",NA,"GOV","339-IPD-d9011",NA
