"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"IPU","National Parliament Unicameral","Percentage.of.women","National Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Sejm Bicameral","Percentage.of.women","Sejm Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Advisory Council Unicameral","Percentage.of.women","Advisory Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","State Duma Bicameral","Percentage.of.women","State Duma Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Federation Bicameral","Percentage.of.women","Council of the Federation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Great and General Council Unicameral","Percentage.of.women","Great and General Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Shura Council Unicameral","Percentage.of.women","Shura Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Upper House Bicameral","Percentage.of.women","Upper House Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council of Provinces Bicameral","Percentage.of.women","National Council of Provinces Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Transitional National Legislative Assembly Bicameral","Percentage.of.women","Transitional National Legislative Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Congress of Deputies Bicameral","Percentage.of.women","Congress of Deputies Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","People's Assembly Unicameral","Percentage.of.women","People's Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Legislative Assembly Unicameral","Percentage.of.women","National Legislative Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly of People's Representatives Unicameral","Percentage.of.women","Assembly of People's Representatives Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Grand National Assembly of Turkey Unicameral","Percentage.of.women","Grand National Assembly of Turkey Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Assembly Unicameral","Percentage.of.women","Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament of Tuvalu Unicameral","Percentage.of.women","Parliament of Tuvalu Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal National Council Unicameral","Percentage.of.women","Federal National Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Lords Bicameral","Percentage.of.women","House of Lords Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Chamber Bicameral","Percentage.of.women","Legislative Chamber Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
