"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"66","existence of an independent administrative procurement complaints system-PEFA-Total","PEFA","existence of an independent administrative procurement complaints system","Total","Existence of an independent administrative procurement complaints system","64-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.05,"Public Sector Management","Public Expenditure Management","Other","Existence of an independent administrative procurement complaints system (iv)","",NA,"","","","","",NA,"","","","","PEFA108","PEFA108","","",""
"67","existence of and adherence to a fixed budget calendar-PEFA-Total","PEFA","existence of and adherence to a fixed budget calendar","Total","Existence of and adherence to a fixed budget calendar","27-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.412,"Public Sector Management","Public Expenditure Management","Other","Existence of and adherence to a fixed budget calendar (i)","",NA,"","","","","",NA,"","","","","PEFA45","PEFA45","","",""
"68","existence of payroll audits to identify control weaknesses and/or ghost workers-PEFA-Total","PEFA","existence of payroll audits to identify control weaknesses and/or ghost workers","Total","Existence of payroll audits to identify control weaknesses and/or ghost workers","59-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.001,"Public Sector Management","Public Expenditure Management","Other","Existence of payroll audits to identify control weaknesses and/or ghost workers (iv)¥Ë_","",NA,"","","","","",NA,"","","","","PEFA109","PEFA109","","",""
"69","existence of sector strategies with multi-year costing of recurrent and investment expenditure-PEFA-Total","PEFA","existence of sector strategies with multi-year costing of recurrent and investment expenditure","Total","Existence of sector strategies with multi-year costing of recurrent and investment expenditure","33-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.299,"Public Sector Management","Public Expenditure Management","Other","Existence of sector strategies with multi-year costing of recurrent and investment expenditure (iii)¥Ë_","",NA,"","","","","",NA,"","","","","PEFA95","PEFA95","","",""
"70","expenditure arrears monitoring-PEFA-Total","PEFA","expenditure arrears monitoring","Total","Expenditure arrears monitoring","227-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"71","expenditure arrears-PEFA-Total","PEFA","expenditure arrears","Total","Expenditure arrears","185-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"72","expenditure composition out-turn by economic type-PEFA-Total","PEFA","expenditure composition out-turn by economic type","Total","Expenditure composition out-turn by economic type","115-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"73","expenditure composition out-turn by function-PEFA-Total","PEFA","expenditure composition out-turn by function","Total","Expenditure composition out-turn by function","114-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"74","expenditure composition out-turn-PEFA-Total","PEFA","expenditure composition out-turn","Total","Expenditure composition out-turn","113-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"75","expenditure outside financial reports-PEFA-Total","PEFA","expenditure outside financial reports","Total","Expenditure outside financial reports","224-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"76","extent of central government monitoring of agas and pes-PEFA-Total","PEFA","extent of central government monitoring of agas and pes","Total","Extent of central government monitoring of agas and pes","22-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.126,"Public Sector Management","Public Expenditure Management","Other","Extent of central government monitoring of AGAs and Pes (i)","",NA,"","","","","",NA,"","","","","PEFA46","PEFA46","","",""
"77","extent of central government monitoring of sn governments fiscal position-PEFA-Total","PEFA","extent of central government monitoring of sn governments fiscal position","Total","Extent of central government monitoring of sn governments fiscal position","23-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.624,"Public Sector Management","Public Expenditure Management","Other","Extent of central government monitoring of SN governments fiscal position (ii)","",NA,"","","","","",NA,"","","","","PEFA71","PEFA71","","",""
"78","extent of consolidation of the government’s cash balances-PEFA-Total","PEFA","extent of consolidation of the government’s cash balances","Total","Extent of consolidation of the government’s cash balances","53-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.95,"Public Sector Management","Public Expenditure Management","Other","Extent of consolidation of the government cash balances (ii)","",NA,"","","","","",NA,"","","","","PEFA72","PEFA72","","",""
"79","extent of hearings on key findings undertaken by the legislature-PEFA-Total","PEFA","extent of hearings on key findings undertaken by the legislature","Total","Extent of hearings on key findings undertaken by the legislature","97-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.372,"Public Sector Management","Public Expenditure Management","Other","Extent of hearings on key findings undertaken by the legislature (ii)","",NA,"","","","","",NA,"","","","","PEFA73","PEFA73","","",""
"80","extent of management response to internal audit findings-PEFA-Total","PEFA","extent of management response to internal audit findings","Total","Extent of management response to internal audit findings","72-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.2,"Public Sector Management","Public Expenditure Management","Other","Extent of management response to internal audit findings (iii)","",NA,"","","","","",NA,"","","","","PEFA96","PEFA96","","",""
"81","extent of the variance in expenditure composition during the last three years excluding contingency items the methodolodgy to rate this dimension is set out in the footnote of the pfm pmf booklet-PEFA-Total","PEFA","extent of the variance in expenditure composition during the last three years excluding contingency items the methodolodgy to rate this dimension is set out in the footnote of the pfm pmf booklet","Total","Extent of the variance in expenditure composition during the last three years excluding contingency items the methodolodgy to rate this dimension is set out in the footnote of the pfm pmf booklet","4-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"82","extent of unreported government operations-PEFA-Total","PEFA","extent of unreported government operations","Total","Extent of unreported government operations","15-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.45,"Public Sector Management","Public Expenditure Management","Other","Extent of unreported government operations¥Ë_","",NA,"","","","","",NA,"","","","","PEFA12","PEFA12","","",""
"83","extent to which cash flows are forecast and monitored-PEFA-Total","PEFA","extent to which cash flows are forecast and monitored","Total","Extent to which cash flows are forecast and monitored","48-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.063,"Public Sector Management","Public Expenditure Management","Other","Extent to which cash flows are forecast and monitored (i)","",NA,"","","","","",NA,"","","","","PEFA48","PEFA48","","",""
"84","extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories-PEFA-Total","PEFA","extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories","Total","Extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories","20-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.067,"Public Sector Management","Public Expenditure Management","Other","Extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories (iii)","",NA,"","","","","",NA,"","","","","PEFA97","PEFA97","","",""
"85","extent to which the legislature’s procedures are well-established and respected-PEFA-Total","PEFA","extent to which the legislature’s procedures are well-established and respected","Total","Extent to which the legislature’s procedures are well-established and respected","92-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"86","external audit follow-up-PEFA-Total","PEFA","external audit follow-up","Total","External audit follow-up","217-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"87","external audit-PEFA-Total","PEFA","external audit","Total","External audit","214-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"88","financial asset monitoring-PEFA-Total","PEFA","financial asset monitoring","Total","Financial asset monitoring","142-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"89","financial data integrity processes-PEFA-Total","PEFA","financial data integrity processes","Total","Financial data integrity processes","205-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"90","financial data integrity-PEFA-Total","PEFA","financial data integrity","Total","Financial data integrity","201-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"91","financial information provided by donors for budgeting and reporting on project and program aid-PEFA-Total","PEFA","financial information provided by donors for budgeting and reporting on project and program aid","Total","Financial information provided by donors for budgeting and reporting on project and program aid","102-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.1,"Public Sector Management","Public Expenditure Management","Other","Financial information provided by donors for budgeting and reporting on project and program aid","",NA,"","","","","",NA,"","","","","PEFA13","PEFA13","","",""
"92","financial reports of extra-budgetary units-PEFA-Total","PEFA","financial reports of extra-budgetary units","Total","Financial reports of extra-budgetary units","226-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"93","fiscal impact of policy proposals -PEFA-Total","PEFA","fiscal impact of policy proposals ","Total","Fiscal impact of policy proposals","154-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"94","fiscal risk reporting-PEFA-Total","PEFA","fiscal risk reporting","Total","Fiscal risk reporting","132-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"95","fiscal strategy adoption-PEFA-Total","PEFA","fiscal strategy adoption","Total","Fiscal strategy adoption","155-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"96","fiscal strategy-PEFA-Total","PEFA","fiscal strategy","Total","Fiscal strategy","153-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"97","frequency and coverage of reporting by donors on actual donor flows for project support-PEFA-Total","PEFA","frequency and coverage of reporting by donors on actual donor flows for project support","Total","Frequency and coverage of reporting by donors on actual donor flows for project support","104-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.026,"Public Sector Management","Public Expenditure Management","Other","Frequency and coverage of reporting by donors on actual donor flows for project support (ii)","",NA,"","","","","",NA,"","","","","PEFA75","PEFA75","","",""
"98","frequency and distribution of reports-PEFA-Total","PEFA","frequency and distribution of reports","Total","Frequency and distribution of reports","71-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.451,"Public Sector Management","Public Expenditure Management","Other","Frequency and distribution of reports (ii)","",NA,"","","","","",NA,"","","","","PEFA76","PEFA76","","",""
"99","frequency and transparency of adjustments to budget allocations which are decided above the level of management of mdas-PEFA-Total","PEFA","frequency and transparency of adjustments to budget allocations which are decided above the level of management of mdas","Total","Frequency and transparency of adjustments to budget allocations which are decided above the level of management of mdas","50-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.048,"Public Sector Management","Public Expenditure Management","Other","Frequency and transparency of adjustments to budget allocations which are decided above the level of management of MDAs (iii)","",NA,"","","","","",NA,"","","","","PEFA98","PEFA98","","",""
"100","frequency of complete accounts reconciliation between tax assessments collections arrears records and receipts by the treasury-PEFA-Total","PEFA","frequency of complete accounts reconciliation between tax assessments collections arrears records and receipts by the treasury","Total","Frequency of complete accounts reconciliation between tax assessments collections arrears records and receipts by the treasury","46-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.413,"Public Sector Management","Public Expenditure Management","Other","Frequency of complete accounts reconciliation between tax assessments collections arrears records and receipts by the Treasury (iii)","",NA,"","","","","",NA,"","","","","PEFA99","PEFA99","","",""
"101","guidance on budget preparation-PEFA-Total","PEFA","guidance on budget preparation","Total","Guidance on budget preparation","164-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"102","hearings on audit findings-PEFA-Total","PEFA","hearings on audit findings","Total","Hearings on audit findings","221-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"103","iaudit coerage and standards-PEFA-Total","PEFA","iaudit coerage and standards","Total","Iaudit coerage and standards","215-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"104","ibank account reconciliation-PEFA-Total","PEFA","ibank account reconciliation","Total","Ibank account reconciliation","202-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"105","icoerage and comparability of reports-PEFA-Total","PEFA","icoerage and comparability of reports","Total","Icoerage and comparability of reports","207-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"106","icoerage of internal audit-PEFA-Total","PEFA","icoerage of internal audit","Total","Icoerage of internal audit","228-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"107","icompleteness of annual financial reports-PEFA-Total","PEFA","icompleteness of annual financial reports","Total","Icompleteness of annual financial reports","211-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"108","iiiaccuracy of in-year budget reports-PEFA-Total","PEFA","iiiaccuracy of in-year budget reports","Total","Iiiaccuracy of in-year budget reports","209-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"109","in-year budget reports-PEFA-Total","PEFA","in-year budget reports","Total","In-year budget reports","206-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"110","in-year timeliness of donor disbursements compliance with aggregate quarterly estimates-PEFA-Total","PEFA","in-year timeliness of donor disbursements compliance with aggregate quarterly estimates","Total","In-year timeliness of donor disbursements compliance with aggregate quarterly estimates","101-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.627,"Public Sector Management","Public Expenditure Management","Other","In-year timeliness of donor disbursements compliance with aggregate quarterly estimates (ii)","",NA,"","","","","",NA,"","","","","PEFA78","PEFA78","","",""
"111","in-year timeliness of transfers from hlg compliance with timetables for in-year distribution of disbursements agreed within one month of the start of the sn fiscal year-PEFA-Total","PEFA","in-year timeliness of transfers from hlg compliance with timetables for in-year distribution of disbursements agreed within one month of the start of the sn fiscal year","Total","In-year timeliness of transfers from hlg compliance with timetables for in-year distribution of disbursements agreed within one month of the start of the sn fiscal year","111-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.083,"Public Sector Management","Public Expenditure Management","Other","In-year timeliness of transfers from HLG compliance with timetables for in-year distribution of disbursements agreed within one month of the start of the SN fiscal year (iii )¥Ë_","",NA,"","","","","",NA,"","","","","PEFA101","PEFA101","","",""
"112","incomeexpenditure information on donorfunded projects which is included in fiscal reports-PEFA-Total","PEFA","incomeexpenditure information on donorfunded projects which is included in fiscal reports","Total","Incomeexpenditure information on donorfunded projects which is included in fiscal reports","17-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.657,"Public Sector Management","Public Expenditure Management","Other","Income-expenditure information on donor-funded projects which is included in fiscal reports (ii)","",NA,"","","","","",NA,"","","","","PEFA77","PEFA77","","",""
"113","inestment project costing-PEFA-Total","PEFA","inestment project costing","Total","Inestment project costing","139-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"114","inestment project monitoring-PEFA-Total","PEFA","inestment project monitoring","Total","Inestment project monitoring","140-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"115","inestment project selection -PEFA-Total","PEFA","inestment project selection ","Total","Inestment project selection","138-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"116","information on commitment ceilings-PEFA-Total","PEFA","information on commitment ceilings","Total","Information on commitment ceilings","183-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"117","information on reenue collections-PEFA-Total","PEFA","information on reenue collections","Total","Information on reenue collections","177-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"118","integration of payroll and personnel records-PEFA-Total","PEFA","integration of payroll and personnel records","Total","Integration of payroll and personnel records","187-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"119","internal audit effectieness-PEFA-Total","PEFA","internal audit effectieness","Total","Internal audit effectieness","200-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"120","internal control of payroll-PEFA-Total","PEFA","internal control of payroll","Total","Internal control of payroll","189-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"121","internal controls of changes to personnel records and the payroll-PEFA-Total","PEFA","internal controls of changes to personnel records and the payroll","Total","Internal controls of changes to personnel records and the payroll","58-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.098,"Public Sector Management","Public Expenditure Management","Other","Internal controls of changes to personnel records and the payroll (iii)","",NA,"","","","","",NA,"","","","","PEFA100","PEFA100","","",""
"122","internal controls on nonsalary expenditure-PEFA-Total","PEFA","internal controls on nonsalary expenditure","Total","Internal controls on nonsalary expenditure","196-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"123","iperformance ealuation for serice deliery-PEFA-Total","PEFA","iperformance ealuation for serice deliery","Total","Iperformance ealuation for serice deliery","130-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"124","issuance of recommended actions by the legislature and implementation by the executive-PEFA-Total","PEFA","issuance of recommended actions by the legislature and implementation by the executive","Total","Issuance of recommended actions by the legislature and implementation by the executive","98-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.531,"Public Sector Management","Public Expenditure Management","Other","Issuance of recommended actions by the Legislature and implementation by the executive (iii) ","",NA,"","","","","",NA,"","","","","PEFA102","PEFA102","","",""
"125","isupreme audit institution sai independence-PEFA-Total","PEFA","isupreme audit institution sai independence","Total","Isupreme audit institution sai independence","218-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"126","itiming of audit report scrutiny-PEFA-Total","PEFA","itiming of audit report scrutiny","Total","Itiming of audit report scrutiny","220-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"127","itransparency of legislatie scrutiny of audit reports-PEFA-Total","PEFA","itransparency of legislatie scrutiny of audit reports","Total","Itransparency of legislatie scrutiny of audit reports","223-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"128","legislatie scrutiny of audit reports-PEFA-Total","PEFA","legislatie scrutiny of audit reports","Total","Legislatie scrutiny of audit reports","219-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"129","legislatie scrutiny of budgets-PEFA-Total","PEFA","legislatie scrutiny of budgets","Total","Legislatie scrutiny of budgets","166-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"130","legislative scrutiny of external audit reports-PEFA-Total","PEFA","legislative scrutiny of external audit reports","Total","Legislative scrutiny of external audit reports","95-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.72,"Public Sector Management","Public Expenditure Management","Other","Legislative scrutiny of external audit reports","",NA,"","","","","",NA,"","","","","PEFA14","PEFA14","","",""
"131","legislative scrutiny of the annual budget law-PEFA-Total","PEFA","legislative scrutiny of the annual budget law","Total","Legislative scrutiny of the annual budget law","90-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.367,"Public Sector Management","Public Expenditure Management","Other","Legislative scrutiny of the annual budget law","",NA,"","","","","",NA,"","","","","PEFA15","PEFA15","","",""
"132","linkages between investment budgets and forward expenditure estimates-PEFA-Total","PEFA","linkages between investment budgets and forward expenditure estimates","Total","Linkages between investment budgets and forward expenditure estimates","34-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.922,"Public Sector Management","Public Expenditure Management","Other","Linkages between investment budgets and forward expenditure estimates (iv)","",NA,"","","","","",NA,"","","","","PEFA110","PEFA110","","",""
"133","macro-fiscal sensitiity analysis-PEFA-Total","PEFA","macro-fiscal sensitiity analysis","Total","Macro-fiscal sensitiity analysis","152-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"134","macroeconomic and fiscal forecasting-PEFA-Total","PEFA","macroeconomic and fiscal forecasting","Total","Macroeconomic and fiscal forecasting","149-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"135","macroeconomic forecasts-PEFA-Total","PEFA","macroeconomic forecasts","Total","Macroeconomic forecasts","150-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"136","management of payroll changes-PEFA-Total","PEFA","management of payroll changes","Total","Management of payroll changes","188-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"137","medium term perspectie in expenditure budgeting-PEFA-Total","PEFA","medium term perspectie in expenditure budgeting","Total","Medium term perspectie in expenditure budgeting","157-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"138","mediumterm expenditure ceilings-PEFA-Total","PEFA","mediumterm expenditure ceilings","Total","Mediumterm expenditure ceilings","159-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"139","monitoring of public corporations-PEFA-Total","PEFA","monitoring of public corporations","Total","Monitoring of public corporations","133-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"140","monitoring of subnational goernment sng-PEFA-Total","PEFA","monitoring of subnational goernment sng","Total","Monitoring of subnational goernment sng","134-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
