"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"109","old age dependency ratio-SGI-Total","12-SGI-Total"," Old Age Dependency Ratio","Total"," Old Age Dependency Ratio","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"110","older employment-SGI-Total","14-SGI-Total"," Older Employment","Total"," Older Employment","SGI","Total","Total","Value",5.092,"Public Sector Management","Personnel Management","Other","Older Employment","",NA,"","","","","",NA,"","","","","SGI110","SGI110","","",""
"111","ombuds office-SGI-Total","15-SGI-Total"," Ombuds Office","Total"," Ombuds Office","SGI","Total","Total","Value",3.04,"Checks and Balances","Oversight institutions","Other","Ombuds Office","",NA,"","","","","",NA,"","","","","SGI111","SGI111","","",""
"112","organizational reform-SGI-Total","16-SGI-Total"," Organizational Reform","Total"," Organizational Reform","SGI","Total","Total","Value",4.879,"Public Sector Management","Administrative and Policymaking capacity","Other","Organizational Reform","",NA,"","","","","",NA,"","","","","SGI112","SGI112","","",""
"113","parliamentary resources-SGI-Total","20-SGI-Total"," Parliamentary Resources","Total"," Parliamentary Resources","SGI","Total","Total","Value",5.206,"Checks and Balances","Legislative System","Other","Parliamentary Resources","",NA,"","","","","",NA,"","","","","SGI116","SGI116","","",""
"114","particulate matter-SGI-Total","21-SGI-Total"," Particulate Matter","Total"," Particulate Matter","SGI","Total","Total","Value",4.609,"Public Sector Management","Service Delivery","Other","Particulate Matter","",NA,"","","","","",NA,"","","","","SGI117","SGI117","","",""
"115","parties and interest associations-SGI-Total","22-SGI-Total"," Parties and Interest Associations","Total"," Parties and Interest Associations","SGI","Total","Total","Value",4.4,"Citizen Engagement","Civil Society Participation","Other","Parties and Interest Associations","",NA,"","","","","",NA,"","","","","SGI118","SGI118","","",""
"116","party financing-SGI-Total","23-SGI-Total"," Party Financing","Total"," Party Financing","SGI","Total","Total","Value",2.06,"Political Accountability","Political Parties","Other","Party Financing","",NA,"","","","","",NA,"","","","","SGI119","SGI119","","",""
"117","pct patent applications-SGI-Total","17-SGI-Total"," PCT Patent Applications","Total"," PCT Patent Applications","SGI","Total","Total","Value",4.042,"Private Sector Interface","Property rights and contracts","Other","Patent Cooperation Treaty (PCT) Patent Applications","",NA,"","","","","",NA,"","","","","SGI113","SGI113","","",""
"118","pension policy-SGI-Total","25-SGI-Total"," Pension Policy","Total"," Pension Policy","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"119","pensions-SGI-Total","26-SGI-Total"," Pensions","Total"," Pensions","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"120","perceived health status-SGI-Total","27-SGI-Total"," Perceived Health Status","Total"," Perceived Health Status","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"121","pisa results-SGI-Total","19-SGI-Total"," PISA results","Total"," PISA results","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"122","pisa, socioeconomic background-SGI-Total","18-SGI-Total"," PISA, Socioeconomic Background","Total"," PISA, Socioeconomic Background","SGI","Total","Total","Value",4.817,"Public Sector Management","Service Delivery","Other","PISA Socioeconomic Background","",NA,"","","","","",NA,"","","","","SGI114","SGI114","","",""
"123","policy communication-SGI-Total","28-SGI-Total"," Policy Communication","Total"," Policy Communication","SGI","Total","Total","Value",5.063,"Public Sector Management","Administrative and Policymaking capacity","Other","Policy Communication","",NA,"","","","","",NA,"","","","","SGI123","SGI123","","",""
"124","policy knowledge-SGI-Total","29-SGI-Total"," Policy Knowledge","Total"," Policy Knowledge","SGI","Total","Total","Value",4.757,"Public Sector Management","Administrative and Policymaking capacity","Other","Policy Knowledge","",NA,"","","","","",NA,"","","","","SGI124","SGI124","","",""
"125","policy performance-SGI-Total","30-SGI-Total"," Policy Performance","Total"," Policy Performance","SGI","Total","Total","Value",5.1,"Public Sector Management","Public Expenditure Management","Other","Policy Performance","",NA,"","","","","",NA,"","","","","SGI125","SGI125","","",""
"126","political liberties-SGI-Total","31-SGI-Total"," Political Liberties","Total"," Political Liberties","SGI","Total","Total","Value",2.07,"Political Accountability","Political Parties","Other","Political Liberties","",NA,"","","","","",NA,"","","","","SGI126","SGI126","","",""
"127","popular decision-making-SGI-Total","32-SGI-Total"," Popular Decision-Making","Total"," Popular Decision-Making","SGI","Total","Total","Value",2.06,"Citizen Engagement","Civil Society Participation","Other","Popular DecisionMaking","",NA,"","","","","",NA,"","","","","SGI127","SGI127","","",""
"128","potential output, growth rate-SGI-Total","33-SGI-Total"," Potential Output, Growth Rate","Total"," Potential Output, Growth Rate","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"129","poverty rate-SGI-Total","34-SGI-Total"," Poverty Rate","Total"," Poverty Rate","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"130","pre-primary expenditure-SGI-Total","36-SGI-Total"," Pre-primary Expenditure","Total"," Pre-primary Expenditure","SGI","Total","Total","Value",4.885,"Public Sector Management","Public Expenditure Management","Other","Pre-primary Expenditure","",NA,"","","","","",NA,"","","","","SGI130","SGI130","","",""
"131","primary balance-SGI-Total","37-SGI-Total"," Primary Balance","Total"," Primary Balance","SGI","Total","Total","Value",4.598,"Public Sector Management","Public Expenditure Management","Other","Primary Balance","",NA,"","","","","",NA,"","","","","SGI131","SGI131","","",""
"132","public r&d spending-SGI-Total","38-SGI-Total"," Public R&D Spending","Total"," Public R&D Spending","SGI","Total","Total","Value",4.737,"Public Sector Management","Public Expenditure Management","Other","Public R&D Spending","",NA,"","","","","",NA,"","","","","SGI132","SGI132","","",""
"133","quality newspapers-SGI-Total","39-SGI-Total"," Quality Newspapers","Total"," Quality Newspapers","SGI","Total","Total","Value",4.366,"Citizen Engagement","Freedom of expression","Other","Quality Newspapers","",NA,"","","","","",NA,"","","","","SGI133","SGI133","","",""
"134","quality of democracy-SGI-Total","40-SGI-Total"," Quality of Democracy","Total"," Quality of Democracy","SGI","Total","Total","Value",2.05,"General Governance","Overall Governance","Other","Quality of Democracy","",NA,"","","","","",NA,"","","","","SGI134","SGI134","","",""
"135","quality of ria process-SGI-Total","41-SGI-Total"," Quality of RIA Process","Total"," Quality of RIA Process","SGI","Total","Total","Value",4.347,"Private Sector Interface","Regulation of entry and exit","Other","Quality of Regulatory Impact Analysis (RIA) Process","",NA,"","","","","",NA,"","","","","SGI135","SGI135","","",""
"136","r&i policy-SGI-Total","42-SGI-Total"," R&I Policy","Total"," R&I Policy","SGI","Total","Total","Value",5.139,"Public Sector Management","Public Expenditure Management","Other","R&I Policy","",NA,"","","","","",NA,"","","","","SGI136","SGI136","","",""
"137","rank among 41 countries  environmental policies-SGI-Total","45-SGI-Total","Rank among 41 countries  Environmental Policies","Total","Rank among 41 countries  Environmental Policies","SGI","Total","Total","Value",4.238,"Political Accountability","Public Accountability Mechanisns","Other","Rank among 41 countries  Environmental Policies","",NA,"","","","","",NA,"","","","","SGI1384","32530","","",""
"138","rank among 41 countries  executive accountability-SGI-Total","47-SGI-Total","Rank among 41 countries  Executive Accountability","Total","Rank among 41 countries  Executive Accountability","SGI","Total","Total","Value",4.163,"Political Accountability","Public Accountability Mechanisns","Other","Rank among 41 countries  Executive Accountability","",NA,"","","","","",NA,"","","","","SGI1382","32528","","",""
"139","rank among 41 countries  executive capacity-SGI-Total","49-SGI-Total","Rank among 41 countries  Executive Capacity","Total","Rank among 41 countries  Executive Capacity","SGI","Total","Total","Value",4.224,"Political Accountability","Public Accountability Mechanisns","Other","Rank among 41 countries  Executive Capacity","",NA,"","","","","",NA,"","","","","SGI1385","32531","","",""
"140","rank among 41 countries  governance-SGI-Total","48-SGI-Total","Rank among 41 countries  Governance","Total","Rank among 41 countries  Governance","SGI","Total","Total","Value",4.199,"Political Accountability","Public Accountability Mechanisns","Other","Rank among 41 countries  Governance","",NA,"","","","","",NA,"","","","","SGI1383","32529","","",""
"141","rank among 41 countries  quality of democracy-SGI-Total","46-SGI-Total","Rank among 41 countries  Quality of Democracy","Total","Rank among 41 countries  Quality of Democracy","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"142","rank among 41 countries  social policies-SGI-Total","44-SGI-Total","Rank among 41 countries  Social Policies","Total","Rank among 41 countries  Social Policies","SGI","Total","Total","Value",4.12,"Political Accountability","Public Accountability Mechanisns","Other","Rank among 41 countries  Social Policies","",NA,"","","","","",NA,"","","","","SGI1386","32532","","",""
"143","real interest rates-SGI-Total","50-SGI-Total"," Real Interest Rates","Total"," Real Interest Rates","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"144","redistribution effect-SGI-Total","52-SGI-Total"," Redistribution Effect","Total"," Redistribution Effect","SGI","Total","Total","Value",5.049,"Public Sector Management","Tax and Customs","Other","Redistribution Effect","",NA,"","","","","",NA,"","","","","SGI140","SGI140","","",""
"145","renewable energy-SGI-Total","53-SGI-Total"," Renewable Energy","Total"," Renewable Energy","SGI","Total","Total","Value",4.178,"Public Sector Management","Service Delivery","Other","Renewable Energy","",NA,"","","","","",NA,"","","","","SGI141","SGI141","","",""
"146","research and innovation-SGI-Total","54-SGI-Total"," Research and Innovation","Total"," Research and Innovation","SGI","Total","Total","Value",4.041,"Public Sector Management","Innovation","Other","Research and Innovation","",NA,"","","","","",NA,"","","","","SGI142","SGI142","","",""
"147","ria application-SGI-Total","43-SGI-Total"," RIA Application","Total"," RIA Application","SGI","Total","Total","Value",4.557,"Private Sector Interface","Regulation of entry and exit","Other","Regulatory Impact Analysis (RIA) Application","",NA,"","","","","",NA,"","","","","SGI137","SGI137","","",""
"148","rule of law-SGI-Total","55-SGI-Total"," Rule of Law","Total"," Rule of Law","SGI","Total","Total","Value",2.04,"General Governance","Overall Governance","Other","Rule of Law","",NA,"","","","","",NA,"","","","","SGI143","SGI143","","",""
"149","safe living conditions-SGI-Total","57-SGI-Total"," Safe Living Conditions","Total"," Safe Living Conditions","SGI","Total","Total","Value",2.01,"Security","Crime","Other","Safe Living Conditions","",NA,"","","","","",NA,"","","","","SGI145","SGI145","","",""
"150","safe living-SGI-Total","56-SGI-Total"," Safe Living","Total"," Safe Living","SGI","Total","Total","Value",4.07,"Security","Crime","Other","Safe Living","",NA,"","","","","",NA,"","","","","SGI144","SGI144","","",""
"151","scholarly advice-SGI-Total","58-SGI-Total"," Scholarly Advice","Total"," Scholarly Advice","SGI","Total","Total","Value",4.675,"Public Sector Management","Administrative and Policymaking capacity","Other","Scholarly Advice","",NA,"","","","","",NA,"","","","","SGI146","SGI146","","",""
"152","self-monitoring-SGI-Total","59-SGI-Total"," Self-monitoring","Total"," Self-monitoring","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"153","senior citizen poverty-SGI-Total","60-SGI-Total"," Senior Citizen Poverty","Total"," Senior Citizen Poverty","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"154","social inclusion policy-SGI-Total","63-SGI-Total"," Social Inclusion Policy","Total"," Social Inclusion Policy","SGI","Total","Total","Value",4.659,"Public Sector Management","Service Delivery","Other","Social Inclusion Policy","",NA,"","","","","",NA,"","","","","SGI150","SGI150","","",""
"155","social inclusion-SGI-Total","61-SGI-Total"," Social Inclusion","Total"," Social Inclusion","SGI","Total","Total","Value",4.438,"Public Sector Management","Service Delivery","Other","Social Inclusion","",NA,"","","","","",NA,"","","","","SGI149","SGI149","","",""
"156","social policies-SGI-Total","64-SGI-Total"," Social Policies","Total"," Social Policies","SGI","Total","Total","Value",5.136,"Public Sector Management","Service Delivery","Other","Social Policies","",NA,"","","","","",NA,"","","","","SGI151","SGI151","","",""
"157","societal consultation-SGI-Total","65-SGI-Total"," Societal Consultation","Total"," Societal Consultation","SGI","Total","Total","Value",2.04,"Citizen Engagement","Civil Society Participation","Other","Societal Consultation","",NA,"","","","","",NA,"","","","","SGI152","SGI152","","",""
"158","spending on health programs-SGI-Total","66-SGI-Total"," Spending on Health Programs","Total"," Spending on Health Programs","SGI","Total","Total","Value",5.065,"Public Sector Management","Service Delivery","Other","Spending on Health Programs","",NA,"","","","","",NA,"","","","","SGI153","SGI153","","",""
"159","stabilizing global financial markets-SGI-Total","67-SGI-Total"," Stabilizing Global Financial Markets","Total"," Stabilizing Global Financial Markets","SGI","Total","Total","Value",5.04,"Public Sector Management","Administrative and Policymaking capacity","Other","Stabilizing Global Financial Markets","",NA,"","","","","",NA,"","","","","SGI154","SGI154","","",""
"160","strategic capacity-SGI-Total","68-SGI-Total"," Strategic Capacity","Total"," Strategic Capacity","SGI","Total","Total","Value",5.068,"Public Sector Management","Administrative and Policymaking capacity","Other","Strategic Capacity","",NA,"","","","","",NA,"","","","","SGI155","SGI155","","",""
"161","strategic planning-SGI-Total","69-SGI-Total"," Strategic Planning","Total"," Strategic Planning","SGI","Total","Total","Value",4.486,"Public Sector Management","Administrative and Policymaking capacity","Other","Strategic Planning","",NA,"","","","","",NA,"","","","","SGI156","SGI156","","",""
"162","structural balance-SGI-Total","70-SGI-Total"," Structural Balance","Total"," Structural Balance","SGI","Total","Total","Value",5.071,"Public Sector Management","Tax and Customs","Other","Structural Balance","",NA,"","","","","",NA,"","","","","SGI157","SGI157","","",""
"163","summoning experts-SGI-Total","71-SGI-Total"," Summoning Experts","Total"," Summoning Experts","SGI","Total","Total","Value",4.485,"Checks and Balances","Legislative System","Other","Summoning Experts","",NA,"","","","","",NA,"","","","","SGI158","SGI158","","",""
"164","summoning ministers-SGI-Total","72-SGI-Total"," Summoning Ministers","Total"," Summoning Ministers","SGI","Total","Total","Value",4.682,"Checks and Balances","Judiciary System","Other","Summoning Ministers","",NA,"","","","","",NA,"","","","","SGI159","SGI159","","",""
"165","sustainability check-SGI-Total","74-SGI-Total"," Sustainability Check","Total"," Sustainability Check","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"166","task area congruence-SGI-Total","75-SGI-Total"," Task Area Congruence","Total"," Task Area Congruence","SGI","Total","Total","Value",4.183,"Checks and Balances","Legislative System","Other","Task Area Congruence","",NA,"","","","","",NA,"","","","","SGI161","SGI161","","",""
"167","task funding-SGI-Total","76-SGI-Total"," Task Funding","Total"," Task Funding","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"168","tax policy-SGI-Total","77-SGI-Total"," Tax Policy","Total"," Tax Policy","SGI","Total","Total","Value",4.311,"Public Sector Management","Public Expenditure Management","Other","Tax Policy","",NA,"","","","","",NA,"","","","","SGI163","SGI163","","",""
"169","tax system complexity-SGI-Total","78-SGI-Total"," Tax System Complexity","Total"," Tax System Complexity","SGI","Total","Total","Value",2.02,"Public Sector Management","Tax and Customs","Other","Tax System Complexity","",NA,"","","","","",NA,"","","","","SGI164","SGI164","","",""
"170","taxes-SGI-Total","79-SGI-Total"," Taxes","Total"," Taxes","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"171","tertiary attainment-SGI-Total","80-SGI-Total"," Tertiary Attainment","Total"," Tertiary Attainment","SGI","Total","Total","Value",4.207,"Public Sector Management","Service Delivery","Other","Tertiary Attainment","",NA,"","","","","",NA,"","","","","SGI166","SGI166","","",""
"172","thefts-SGI-Total","81-SGI-Total"," Thefts","Total"," Thefts","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"173","tier 1 capital ratio-SGI-Total","82-SGI-Total"," Tier 1 Capital Ratio","Total"," Tier 1 Capital Ratio","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"174","total researchers-SGI-Total","83-SGI-Total"," Total Researchers","Total"," Total Researchers","SGI","Total","Total","Value",4.124,"Private Sector Interface","Property rights and contracts","Other","Total Researchers","",NA,"","","","","",NA,"","","","","SGI169","SGI169","","",""
"175","unemployment-SGI-Total","85-SGI-Total"," Unemployment","Total"," Unemployment","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"176","upper secondary attainment-SGI-Total","86-SGI-Total"," Upper Secondary Attainment","Total"," Upper Secondary Attainment","SGI","Total","Total","Value",4.14,"Public Sector Management","Service Delivery","Other","Upper Secondary Attainment","",NA,"","","","","",NA,"","","","","SGI171","SGI171","","",""
"177","voicing opinion to officials-SGI-Total","87-SGI-Total"," Voicing Opinion to Officials","Total"," Voicing Opinion to Officials","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"178","voter turnout-SGI-Total","88-SGI-Total"," Voter Turnout","Total"," Voter Turnout","SGI","Total","Total","Value",3.02,"Political Accountability","Elections","Other","Voter Turnout","",NA,"","","","","",NA,"","","","","SGI173","SGI173","","",""
"179","voting and registration rights-SGI-Total","89-SGI-Total"," Voting and Registration Rights","Total"," Voting and Registration Rights","SGI","Total","Total","Value",2.05,"Political Accountability","Elections","Other","Voting and Registration Rights","",NA,"","","","","",NA,"","","","","SGI174","SGI174","","",""
"180","waste generation-SGI-Total","90-SGI-Total"," Waste Generation","Total"," Waste Generation","SGI","Total","Total","Value",4.024,"Public Sector Management","Service Delivery","Other","Waste Generation","",NA,"","","","","",NA,"","","","","SGI175","SGI175","","",""
"181","water usage-SGI-Total","91-SGI-Total"," Water Usage","Total"," Water Usage","SGI","Total","Total","Value",5.023,"Public Sector Management","Service Delivery","Other","Water Usage","",NA,"","","","","",NA,"","","","","SGI176","SGI176","","",""
"182","youth unemployment-SGI-Total","92-SGI-Total"," Youth Unemployment","Total"," Youth Unemployment","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
