"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"105","FDI and technology transfer-GCI-Rank","246-GCI-Rank","FDI and technology transfer, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"106","FDI and technology transfer-GCI-Value","245-GCI-Value","FDI and technology transfer, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"107","Financial services meeting business needs-GCI-Rank","220-GCI-Rank","Financial services meeting business needs, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"108","Financial services meeting business needs-GCI-Value","219-GCI-Value","Financial services meeting business needs, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"109","Financing through local equity market-GCI-Rank","224-GCI-Rank","Financing through local equity market, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"110","Financing through local equity market-GCI-Value","223-GCI-Value","Financing through local equity market, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"111","Firm level technology absorption-GCI-Rank","244-GCI-Rank","Firm-level technology absorption, 1-7 (best)","Rank","GCI","Firmlevel technology absorption","Rank","Rank","Value",4.25,"Public Sector Management","Innovation","Other","Firmlevel technology absorption","",NA,"","","","","",NA,"","","","","GCI129.1","28914","","",""
"112","Firm level technology absorption-GCI-Value","243-GCI-Value","Firm-level technology absorption, 1-7 (best)","Value","GCI","Firmlevel technology absorption","1-7 Best","1-7 Best","Index",4.25,"Public Sector Management","Innovation","Other","Firmlevel technology absorption","",NA,"","","","","",NA,"","","","","GCI129.2","GCI129","","",""
"113","Fixed broadband Internet subscriptions-GCI-Rank","252-GCI-Rank","Fixed broadband Internet subscriptions/100 pop.*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"114","Fixed broadband Internet subscriptions-GCI-Value","251-GCI-Value","Fixed broadband Internet subscriptions/100 pop.*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"115","Fixed telephone lines-GCI-Rank","80-GCI-Rank","Fixed telephone lines/100 pop.*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"116","Fixed telephone lines-GCI-Value","79-GCI-Value","Fixed telephone lines/100 pop.*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"117","Flexibility of wage determination-GCI-Rank","198-GCI-Rank","Flexibility of wage determination, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"118","Flexibility of wage determination-GCI-Value","197-GCI-Value","Flexibility of wage determination, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"119","Flexibility-GCI-Rank","204-GCI-Rank","A. Flexibility","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"120","Flexibility-GCI-Value","203-GCI-Value","A. Flexibility","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"121","Foreign competition-GCI-Rank","182-GCI-Rank","2. Foreign competition ","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"122","Foreign competition-GCI-Value","181-GCI-Value","2. Foreign competition ","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"123","Foreign market size index-GCI-Rank","270-GCI-Rank","Foreign market size index, 1–7 (best)*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"124","Foreign market size index-GCI-Value","269-GCI-Value","Foreign market size index, 1–7 (best)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"125","Foreign market size-GCI-Rank","272-GCI-Rank","B. Foreign market size","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"126","Foreign market size-GCI-Value","271-GCI-Value","B. Foreign market size","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"127","GDP  PPP  as share     of world total-GCI-Rank","330-GCI-Rank","GDP (PPP) as share (%) of world total*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"128","GDP  PPP  as share     of world total-GCI-Value","329-GCI-Value","GDP (PPP) as share (%) of world total*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"129","GDP  PPP  billions-GCI-Rank","262-GCI-Rank","GDP (PPP$ billions)*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"130","GDP  PPP  billions-GCI-Value","261-GCI-Value","GDP (PPP$ billions)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"131","GDP  US  billions-GCI-Rank","324-GCI-Rank","GDP (US$ billions)*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"132","GDP  US  billions-GCI-Value","323-GCI-Value","GDP (US$ billions)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"133","GDP per capita  US-GCI-Rank","328-GCI-Rank","GDP per capita (US$)*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"134","GDP per capita  US-GCI-Value","327-GCI-Value","GDP per capita (US$)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"135","General government debt   GDP-GCI-Rank","94-GCI-Rank","General government debt, % GDP*","Rank","GCI","General government debt % GDP","Rank","Rank","Value",4.181,"Public Sector Management","Public Expenditure Management","Other","General government debt % GDP","",NA,"","","","","",NA,"","","","","GCI66.1","28958","","",""
"136","General government debt   GDP-GCI-Value","93-GCI-Value","General government debt, % GDP*","Value","GCI","General government debt % GDP","Value","Value","%",4.181,"Public Sector Management","Public Expenditure Management","Other","General government debt % GDP","",NA,"","","","","",NA,"","","","","GCI66.2","GCI66","","",""
"137","Global Competitiveness Index-GCI-Rank","314-GCI-Rank","Global Competitiveness Index","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"138","Global Competitiveness Index-GCI-Value","313-GCI-Value","Global Competitiveness Index","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"139","Gov t procurement of advanced tech products-GCI-Rank","304-GCI-Rank","Gov’t procurement of advanced tech products, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"140","Gov t procurement of advanced tech products-GCI-Value","303-GCI-Value","Gov’t procurement of advanced tech products, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"141","Government budget balance   GDP-GCI-Rank","88-GCI-Rank","Government budget balance, % GDP*","Rank","GCI","Government budget balance % GDP","Rank","Rank","Value",4.511,"Public Sector Management","Public Expenditure Management","Other","Government budget balance % GDP","",NA,"","","","","",NA,"","","","","GCI63.1","28952","","",""
"142","Government budget balance   GDP-GCI-Value","87-GCI-Value","Government budget balance, % GDP*","Value","GCI","Government budget balance % GDP","Value","Value","%",4.511,"Public Sector Management","Public Expenditure Management","Other","Government budget balance % GDP","",NA,"","","","","",NA,"","","","","GCI63.2","GCI63","","",""
"143","Government efficiency-GCI-Rank","32-GCI-Rank","4. Government efficiency","Rank","GCI","Government efficiency","Rank","Rank","Value",2.06,"General Governance","Overall Governance","Other","Government efficiency","",NA,"","","","","",NA,"","","","","GCI69.1","28960","","",""
"144","Government efficiency-GCI-Value","31-GCI-Value","4. Government efficiency","Value","GCI","Government efficiency","Value","Value","Index",2.06,"General Governance","Overall Governance","Other","Government efficiency","",NA,"","","","","",NA,"","","","","GCI69.2","GCI69","","",""
"145","Gross national savings   GDP-GCI-Rank","90-GCI-Rank","Gross national savings, % GDP*","Rank","GCI","Gross national savings % GDP","Rank","Rank","Value",4.374,"Public Sector Management","Public Expenditure Management","Other","Gross national savings % GDP","",NA,"","","","","",NA,"","","","","GCI64.1","28954","","",""
"146","Gross national savings   GDP-GCI-Value","89-GCI-Value","Gross national savings, % GDP*","Value","GCI","Gross national savings % GDP","Value","Value","%",4.374,"Public Sector Management","Public Expenditure Management","Other","Gross national savings % GDP","",NA,"","","","","",NA,"","","","","GCI64.2","GCI64","","",""
"147","Health-GCI-Rank","116-GCI-Rank","A. Health","Rank","GCI","Health","Rank","Rank","Value",5.043,"Public Sector Management","Service Delivery","Other","Health","",NA,"","","","","",NA,"","","","","GCI140.1","28916","","",""
"148","Health-GCI-Value","115-GCI-Value","A. Health","Value","GCI","Health","Value","Value","Index",5.043,"Public Sector Management","Service Delivery","Other","Health","",NA,"","","","","",NA,"","","","","GCI140.2","GCI140","","",""
"149","Hiring and firing practices-GCI-Rank","196-GCI-Rank","Hiring and firing practices, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"150","Hiring and firing practices-GCI-Value","195-GCI-Value","Hiring and firing practices, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"151","HIV prevalence   adult-GCI-Rank","110-GCI-Rank","HIV prevalence, % adult pop.*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"152","HIV prevalence   adult-GCI-Value","109-GCI-Value","HIV prevalence, % adult pop.*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"153","Imports as a percentage of GDP-GCI-Rank","178-GCI-Rank","Imports as a percentage of GDP*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"154","Imports as a percentage of GDP-GCI-Value","177-GCI-Value","Imports as a percentage of GDP*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"155","Individuals using Internet-GCI-Rank","250-GCI-Rank","Individuals using Internet, %*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"156","Individuals using Internet-GCI-Value","249-GCI-Value","Individuals using Internet, %*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"157","Infant mortality deaths      live births-GCI-Rank","112-GCI-Rank","Infant mortality, deaths/1,000 live births*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"158","Infant mortality deaths      live births-GCI-Value","111-GCI-Value","Infant mortality, deaths/1,000 live births*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"159","Inflation annual   change-GCI-Rank","92-GCI-Rank","Inflation, annual % change*","Rank","GCI","Inflation annual % change","Rank","Rank","Value",4.654,"Public Sector Management","Public Expenditure Management","Other","Inflation annual % change","",NA,"","","","","",NA,"","","","","GCI65.1","28956","","",""
"160","Inflation annual   change-GCI-Value","91-GCI-Value","Inflation, annual % change*","Value","GCI","Inflation annual % change","Value","Value","%",4.654,"Public Sector Management","Public Expenditure Management","Other","Inflation annual % change","",NA,"","","","","",NA,"","","","","GCI65.2","GCI65","","",""
"161","Information and Comunications technology use-GCI-Rank","258-GCI-Rank","B. ICT use ","Rank","GCI","Information and Comunications technology use","Rank","Rank","Value",4.109,"Public Sector Management","Innovation","Other","Information and Comunications technology use","",NA,"","","","","",NA,"","","","","GCI148.1","28928","","",""
"162","Information and Comunications technology use-GCI-Value","257-GCI-Value","B. ICT use ","Value","GCI","Information and Comunications technology use","Value","Value","Index",4.109,"Public Sector Management","Innovation","Other","Information and Comunications technology use","",NA,"","","","","",NA,"","","","","GCI148.2","GCI148","","",""
"163","Innovation and sophistication factors-GCI-Rank","312-GCI-Rank","Innovation and sophistication factors","Rank","GCI","Innovation and sophistication factors","Rank","Rank","Value",4.774,"Public Sector Management","Innovation","Other","Innovation and sophistication factors","",NA,"","","","","",NA,"","","","","GCI161.1","28940","","",""
"164","Innovation and sophistication factors-GCI-Value","311-GCI-Value","Innovation and sophistication factors","Value","GCI","Innovation and sophistication factors","Value","Value","Index",4.774,"Public Sector Management","Innovation","Other","Innovation and sophistication factors","",NA,"","","","","",NA,"","","","","GCI161.2","GCI161","","",""
"165","Int l Internet bandwidth kb s per user-GCI-Rank","254-GCI-Rank","Int’l Internet bandwidth, kb/s per user*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"166","Int l Internet bandwidth kb s per user-GCI-Value","253-GCI-Value","Int’l Internet bandwidth, kb/s per user*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"167","Intellectual property protection-GCI-Rank","4-GCI-Rank","Intellectual property protection, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"168","Intellectual property protection-GCI-Value","3-GCI-Value","Intellectual property protection, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"169","Intensity of local competition-GCI-Rank","152-GCI-Rank","Intensity of local competition, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"170","Intensity of local competition-GCI-Value","151-GCI-Value","Intensity of local competition, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"171","Internet access in schools-GCI-Rank","140-GCI-Rank","Internet access in schools, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"172","Internet access in schools-GCI-Value","139-GCI-Value","Internet access in schools, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"173","Irregular payments and bribes-GCI-Rank","12-GCI-Rank","Irregular payments and bribes, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"174","Irregular payments and bribes-GCI-Value","11-GCI-Value","Irregular payments and bribes, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"175","Judicial independence-GCI-Rank","16-GCI-Rank","Judicial independence, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"176","Judicial independence-GCI-Value","15-GCI-Value","Judicial independence, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"177","Legal rights index-GCI-Rank","236-GCI-Rank","Legal rights index, 0–10 (best)*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"178","Legal rights index-GCI-Value","235-GCI-Value","Legal rights index, 0–10 (best)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"179","Life expectancy years-GCI-Rank","114-GCI-Rank","Life expectancy, years*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"180","Life expectancy years-GCI-Value","113-GCI-Value","Life expectancy, years*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"181","Local supplier quality-GCI-Rank","280-GCI-Rank","Local supplier quality, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"182","Local supplier quality-GCI-Value","279-GCI-Value","Local supplier quality, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"183","Local supplier quantity-GCI-Rank","278-GCI-Rank","Local supplier quantity, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"184","Local supplier quantity-GCI-Value","277-GCI-Value","Local supplier quantity, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"185","Malaria cases-GCI-Rank","102-GCI-Rank","Malaria cases/100,000 pop.*","Rank","GCI","Malaria cases","Rank","Rank","Value",4.297,"Public Sector Management","Service Delivery","Other","Malaria cases","",NA,"","","","","",NA,"","","","","GCI70.1","28962","","",""
"186","Malaria cases-GCI-Value","101-GCI-Value","Malaria cases/100,000 pop.*","Value","GCI","Malaria cases","100000 pop","100000 pop","Index",4.297,"Public Sector Management","Service Delivery","Other","Malaria cases","",NA,"","","","","",NA,"","","","","GCI70.2","GCI70","","",""
"187","Mobile broadband subscriptions-GCI-Rank","256-GCI-Rank","Mobile broadband subscriptions/100 pop.*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"188","Mobile broadband subscriptions-GCI-Value","255-GCI-Value","Mobile broadband subscriptions/100 pop.*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"189","Mobile telephone subscriptions-GCI-Rank","82-GCI-Rank","Mobile telephone subscriptions/100 pop.*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"190","Mobile telephone subscriptions-GCI-Value","81-GCI-Value","Mobile telephone subscriptions/100 pop.*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"191","Nature of competitive advantage-GCI-Rank","284-GCI-Rank","Nature of competitive advantage, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"192","Nature of competitive advantage-GCI-Value","283-GCI-Value","Nature of competitive advantage, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"193","nd pillar  Infrastructure-GCI-Rank","86-GCI-Rank","2nd pillar: Infrastructure","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"194","nd pillar  Infrastructure-GCI-Value","85-GCI-Value","2nd pillar: Infrastructure","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"195","No  days to start a business-GCI-Rank","162-GCI-Rank","No. days to start a business*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"196","No  days to start a business-GCI-Value","161-GCI-Value","No. days to start a business*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"197","No  procedures to start a business-GCI-Rank","160-GCI-Rank","No. procedures to start a business*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"198","No  procedures to start a business-GCI-Value","159-GCI-Value","No. procedures to start a business*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"199","On the job training-GCI-Rank","148-GCI-Rank","C. On-the-job training","Rank","GCI","On the job training","Rank","Rank","Value",4.761,"Public Sector Management","Service Delivery","Other","On the job training","",2.03,"General Governance","Overall Governance","Other","On the job training","",NA,"","","","","GCI155.1","28938","","",""
"200","On the job training-GCI-Value","147-GCI-Value","C. On-the-job training","Value","GCI","On the job training","Value","Value","Index",4.761,"Public Sector Management","Service Delivery","Other","On the job training","",2.03,"General Governance","Overall Governance","Other","On the job training","",NA,"","","","","GCI155.2","GCI155","","",""
"201","Organized crime-GCI-Rank","38-GCI-Rank","Organized crime, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"202","Organized crime-GCI-Value","37-GCI-Value","Organized crime, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"203","Pay and productivity-GCI-Rank","206-GCI-Rank","Pay and productivity, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"204","Pay and productivity-GCI-Value","205-GCI-Value","Pay and productivity, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"205","PCT patents applications million-GCI-Rank","308-GCI-Rank","PCT patents, applications/million pop.*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"206","PCT patents applications million-GCI-Value","307-GCI-Value","PCT patents, applications/million pop.*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"207","Population  millions-GCI-Rank","326-GCI-Rank","Population (millions)*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"208","Population  millions-GCI-Value","325-GCI-Value","Population (millions)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"209","Prevalence of foreign ownership-GCI-Rank","172-GCI-Rank","Prevalence of foreign ownership, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"210","Prevalence of foreign ownership-GCI-Value","171-GCI-Value","Prevalence of foreign ownership, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"211","Prevalence of trade barriers-GCI-Rank","170-GCI-Rank","Prevalence of trade barriers, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
