"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"103","gender-IIAG-Total","138-IIAG-Total","GENDER","Total","IIAG","Gender","Estimation by Source","Estimation by Source","Index",4.41,"Citizen Engagement","Civil Rights","Other","Gender IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG96","IIAG96","","",""
"104","government involvement in armed conflict ucdp-IIAG-Total","188-IIAG-Total","Government_Involvement_in_Armed_Conflict_(UCDP)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"105","government violence against civilians acled-IIAG-Total","192-IIAG-Total","Government_Violence_against_Civilians_(ACLED)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"106","governmental statistical capacity wb-IIAG-Total","121-IIAG-Total","Governmental_Statistical_Capacity_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"107","harassment of ngos gi-IIAG-Total","170-IIAG-Total","Harassment_of_NGOs_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"108","health-IIAG-Total","19-IIAG-Total","HEALTH","Total","IIAG","Health","Estimation by Source","Estimation by Source","Index",4.114,"Public Sector Management","Service Delivery","Other","Health  IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG100","30765","","",""
"109","household computers itu-IIAG-Total","73-IIAG-Total","Household_Computers_(ITU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"110","household internet access itu-IIAG-Total","72-IIAG-Total","Household_Internet_Access_(ITU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"111","human development-IIAG-Total","53-IIAG-Total","HUMAN_DEVELOPMENT","Total","IIAG","Human Development","Estimation by Source","Estimation by Source","Index",4.428,"Public Sector Management","Service Delivery","Other","Human Development IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG103","IIAG103","","",""
"112","human resources in primary schools unesco-IIAG-Total","24-IIAG-Total","Human_Resources_in_Primary_Schools_(UNESCO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"113","human rights conventions unolaohchr-IIAG-Total","143-IIAG-Total","Human_Rights_Conventions_(UNOLA/OHCHR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"114","human rights violations eiu-IIAG-Total","142-IIAG-Total","Human_Rights_Violations_(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"115","human trafficking usds-IIAG-Total","190-IIAG-Total","Human_Trafficking_(USDS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"116","immunisation against dpt wb-IIAG-Total","5-IIAG-Total","Immunisation_against_DPT_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"117","immunisation against hepatitis b who-IIAG-Total","4-IIAG-Total","Immunisation_against_Hepatitis_B_(WHO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"118","immunisation against measles wb-IIAG-Total","6-IIAG-Total","Immunisation_against_Measles_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"119","immunisation wbwho-IIAG-Total","7-IIAG-Total","Immunisation_(WB/WHO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"120","independent judiciary bs-IIAG-Total","245-IIAG-Total","Independent_Judiciary_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"121","infrastructure-IIAG-Total","87-IIAG-Total","INFRASTRUCTURE","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"122","internally displaced people idmc-IIAG-Total","184-IIAG-Total","Internally_Displaced_People_(IDMC)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"123","investment climate for rural businesses ifad-IIAG-Total","64-IIAG-Total","Investment_Climate_for_Rural_Businesses_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"124","investment climate her-IIAG-Total","99-IIAG-Total","Investment_Climate_(HER)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"125","it infrastructure eiu-IIAG-Total","75-IIAG-Total","IT_Infrastructure_(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"126","judicial appointments gi-IIAG-Total","241-IIAG-Total","Judicial_Appointments_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"127","judicial authority vdem-IIAG-Total","243-IIAG-Total","Judicial_Authority_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"128","judicial autonomy wef-IIAG-Total","244-IIAG-Total","Judicial_Autonomy_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"129","judicial decisions gi-IIAG-Total","238-IIAG-Total","Judicial_Decisions_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"130","judicial independence bswefvdemgi-IIAG-Total","246-IIAG-Total","Judicial_Independence_(BS/WEF/V-Dem/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"131","judicial independence gi-IIAG-Total","242-IIAG-Total","Judicial_Independence_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"132","judicial process  eiu-IIAG-Total","239-IIAG-Total","Judicial_Process__(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"133","judicial process  eiugi-IIAG-Total","240-IIAG-Total","Judicial_Process__(EIU/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"134","laws on violence against women oecd-IIAG-Total","125-IIAG-Total","Laws_on_Violence_against_Women_(OECD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"135","legitimacy of political process bs-IIAG-Total","160-IIAG-Total","Legitimacy_of_Political_Process_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"136","literacy wb-IIAG-Total","20-IIAG-Total","Literacy_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"137","living conditions afr-IIAG-Total","42-IIAG-Total","Living_Conditions_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"138","living standards of the poor afr-IIAG-Total","37-IIAG-Total","Living_Standards_of_the_Poor_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"139","malaria who-IIAG-Total","9-IIAG-Total","Malaria_(WHO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"140","maternal mortality mmeig-IIAG-Total","15-IIAG-Total","Maternal_Mortality_(MMEIG)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"141","media censorship gi-IIAG-Total","152-IIAG-Total","Media_Censorship_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"142","media freedom rsf-IIAG-Total","156-IIAG-Total","Media_Freedom_(RSF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"143","media impartiality vdem-IIAG-Total","155-IIAG-Total","Media_Impartiality_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"144","mobile phone subscribers itu-IIAG-Total","74-IIAG-Total","Mobile_Phone_Subscribers_(ITU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"145","multilateral sanctions  cdd-IIAG-Total","228-IIAG-Total","Multilateral_Sanctions__(CDD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"146","narrowing income gaps afr-IIAG-Total","33-IIAG-Total","Narrowing_Income_Gaps_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"147","national security-IIAG-Total","189-IIAG-Total","NATIONAL_SECURITY","Total","IIAG","National Security","Estimation by Source","Estimation by Source","Index",4.05,"Security","Police and Military","Other","National Security  IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG137","30767","","",""
"148","neighbourhood safety afr-IIAG-Total","204-IIAG-Total","Neighbourhood_Safety_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"149","online censorship gi-IIAG-Total","151-IIAG-Total","Online_Censorship_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"150","online public services undesa-IIAG-Total","223-IIAG-Total","Online_Public_Services_(UNDESA)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"151","open defecation sanitation whounicef-IIAG-Total","12-IIAG-Total","Open_Defecation_Sanitation_(WHO/UNICEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"152","overall governance-IIAG-Total","249-IIAG-Total","OVERALL_GOVERNANCE","Total","IIAG","Overall governance","Estimation by Source","Estimation by Source","Index",4.309,"Public Sector Management","Public Expenditure Management","Other","Overall governance IIAG_calculation","",4.002,"General Governance","Overall Governance","Other","Overall governance IIAG_calculation","",NA,"","","","","IIAG142","IIAG142","","",""
"153","participation & human rights-IIAG-Total","182-IIAG-Total","PARTICIPATION_&_HUMAN_RIGHTS","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"154","participation-IIAG-Total","181-IIAG-Total","PARTICIPATION","Total","IIAG","Participation","Estimation by Source","Estimation by Source","Index",2.02,"Citizen Engagement","Civil Society Participation","Other","Participation IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG144","IIAG144","","",""
"155","persecution of ngos gi-IIAG-Total","171-IIAG-Total","Persecution_of_NGOs_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"156","personal safety-IIAG-Total","207-IIAG-Total","PERSONAL_SAFETY","Total","IIAG","Personal Safety","Estimation by Source","Estimation by Source","Index",4.017,"Security","Crime","Other","Personal Safety IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG146","IIAG146","","",""
"157","police misconduct investigation gi-IIAG-Total","201-IIAG-Total","Police_Misconduct_Investigation_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"158","police services wef-IIAG-Total","202-IIAG-Total","Police_Services_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"159","police services wefgi-IIAG-Total","203-IIAG-Total","Police_Services_(WEF/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"160","political participation eiu-IIAG-Total","179-IIAG-Total","Political_Participation_(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"161","political participation eiufhvdem-IIAG-Total","180-IIAG-Total","Political_Participation_(EIU/FH/V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"162","political pluralism fh-IIAG-Total","178-IIAG-Total","Political_Pluralism_(FH)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"163","political refugees unhcr-IIAG-Total","183-IIAG-Total","Political_Refugees_(UNHCR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"164","political violence acledpts-IIAG-Total","193-IIAG-Total","Political_Violence_(ACLED/PTS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"165","political violence pts-IIAG-Total","191-IIAG-Total","Political_Violence_(PTS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"166","poverty afr-IIAG-Total","43-IIAG-Total","Poverty_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"167","poverty reduction priorities afrafdbwb-IIAG-Total","38-IIAG-Total","Poverty_Reduction_Priorities_(AFR/AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"168","primary school completion wb-IIAG-Total","23-IIAG-Total","Primary_School_Completion_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"169","property freedom her-IIAG-Total","234-IIAG-Total","Property_Freedom_(HER)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"170","property rights & regulations  bs-IIAG-Total","235-IIAG-Total","Property_Rights_&_Regulations__(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"171","property rights afdb-IIAG-Total","231-IIAG-Total","Property_Rights_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"172","property rights afdbwb-IIAG-Total","232-IIAG-Total","Property_Rights_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"173","property rights bsherwefafdbwb-IIAG-Total","236-IIAG-Total","Property_Rights_(BS/HER/WEF/AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"174","property rights wb-IIAG-Total","230-IIAG-Total","Property_Rights_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"175","protection against discrimination gi-IIAG-Total","141-IIAG-Total","Protection_against_Discrimination_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"176","protection against ethnic discrimination gi-IIAG-Total","140-IIAG-Total","Protection_against_Ethnic_Discrimination_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"177","protection against religious discrimination gi-IIAG-Total","139-IIAG-Total","Protection_against_Religious_Discrimination_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"178","protection of civil liberties bs-IIAG-Total","145-IIAG-Total","Protection_of_Civil_Liberties_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"179","protection of property rights wef-IIAG-Total","233-IIAG-Total","Protection_of_Property_Rights_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"180","public administration afdb-IIAG-Total","116-IIAG-Total","Public_Administration_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"181","public administration afdbwb-IIAG-Total","117-IIAG-Total","Public_Administration_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"182","public administration wb-IIAG-Total","115-IIAG-Total","Public_Administration_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"183","public health campaigns gi-IIAG-Total","17-IIAG-Total","Public_Health_Campaigns_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"184","public management-IIAG-Total","122-IIAG-Total","PUBLIC_MANAGEMENT","Total","IIAG","Public Management","Estimation by Source","Estimation by Source","Index",4.584,"Public Sector Management","Personnel Management","Other","Public Management IIAG_calculation","",4.001,"Public Sector Management","Public Expenditure Management","Other","Public Management IIAG_calculation","",4.001,"Public Sector Management","Administrative and Policymaking capacity","Other","Public Management IIAG_calculation","IIAG174","IIAG174","","",""
"185","public sector accountability & transparency afdb-IIAG-Total","219-IIAG-Total","Public_Sector_Accountability_&_Transparency_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"186","public sector accountability & transparency afdbwb-IIAG-Total","220-IIAG-Total","Public_Sector_Accountability_&_Transparency_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"187","public sector accountability & transparency vdemafdbwb-IIAG-Total","222-IIAG-Total","Public_Sector_Accountability_&_Transparency_(V-Dem/AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"188","public sector accountability & transparency wb-IIAG-Total","218-IIAG-Total","Public_Sector_Accountability_&_Transparency_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"189","public sector corruption bodies gi-IIAG-Total","210-IIAG-Total","Public_Sector_Corruption_Bodies_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"190","quality of air transport wef-IIAG-Total","81-IIAG-Total","Quality_of_Air_Transport_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"191","rail network  eiu-IIAG-Total","83-IIAG-Total","Rail_Network__(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"192","reducing crime afr-IIAG-Total","194-IIAG-Total","Reducing_Crime_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"193","regional integration afdb-IIAG-Total","88-IIAG-Total","Regional_Integration_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"194","reliable electricity supply afr-IIAG-Total","77-IIAG-Total","Reliable_Electricity_Supply_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"195","residential crime afr-IIAG-Total","195-IIAG-Total","Residential_Crime_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"196","revenue collection afdb-IIAG-Total","103-IIAG-Total","Revenue_Collection_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"197","revenue collection afdbwb-IIAG-Total","104-IIAG-Total","Revenue_Collection_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"198","revenue collection wb-IIAG-Total","102-IIAG-Total","Revenue_Collection_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"199","revenue mobilisation ictdafdbwb-IIAG-Total","106-IIAG-Total","Revenue_Mobilisation_(ICTD/AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"200","rights-IIAG-Total","159-IIAG-Total","RIGHTS","Total","IIAG","Rights","Estimation by Source","Estimation by Source","Index",2.05,"Citizen Engagement","Freedom of expression","Other","Rights IIAG_calculation","",4.001,"Citizen Engagement","Civil Rights","Other","Rights IIAG_calculation","",NA,"","","","","IIAG188","IIAG188","","",""
"201","riots & protests acled-IIAG-Total","198-IIAG-Total","Riots_&_Protests_(ACLED)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"202","road & bridge maintenance afr-IIAG-Total","84-IIAG-Total","Road_&_Bridge_Maintenance_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"203","road network wef-IIAG-Total","85-IIAG-Total","Road_Network_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"204","rule of law-IIAG-Total","247-IIAG-Total","RULE_OF_LAW","Total","IIAG","Rule of Law","Estimation by Source","Estimation by Source","Index",4.853,"Checks and Balances","Judiciary System","Other","Rule of Law IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG191","IIAG191","","",""
"205","rural accountability & transparency  ifad-IIAG-Total","54-IIAG-Total","Rural_Accountability_&_Transparency__(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"206","rural business climate ifad-IIAG-Total","65-IIAG-Total","Rural_Business_Climate_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
