"","X.2","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","Rank_1"
"187",187,"1121-IPD-a6012",3084,"IPD",1204,"respect for contracts between local private players and foreigners-IPD-a6012","A6012","A6012","Respect for contracts between local private players and foreigners",NA,"Score","A6012","Index","Private Sector Interface","Property rights and contracts","Other","Respect for contracts between local private players and foreigners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD762",NA,"GOV","1121-IPD-a6012","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.15
"188",188,"1122-IPD-a6020",2673,"IPD",793,"independence of the courts from the government in commercial disputes-IPD-a6020","A6020","A6020","Independence of the courts from the government in commercial disputes",NA,"Score","A6020","Index","Fairness and equity","Undue influence","Other","Independence of the courts from the government in commercial disputes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD444",NA,"GOV","1122-IPD-a6020","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.115
"189",189,"1123-IPD-a6021",2672,"IPD",792,"independence of the courts from litigants local players in commercial disputes-IPD-a6021","A6021","A6021","Independence of the courts from litigants (local players) in commercial disputes",NA,"Score","A6021","Index","Fairness and equity","Undue influence","Other","Independence of the courts from litigants (local players) in commercial disputes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD443",NA,"GOV","1123-IPD-a6021","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.114
"190",190,"1124-IPD-a6022",2467,"IPD",587,"equality of treatment between nationals and foreigners in commercial disputes-IPD-a6022","A6022","A6022","Equality of treatment between nationals and foreigners in commercial disputes",NA,"Score","A6022","Index","Fairness and equity","Equal treatment","Other","Equality of treatment between nationals and foreigners in commercial disputes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD284",NA,"GOV","1124-IPD-a6022","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.79
"191",191,"1125-IPD-a6023",2505,"IPD",625,"extent of enforcement and speed of court rulings in commercial matters-IPD-a6023","A6023","A6023","Extent of enforcement and speed of court rulings in commercial matters",NA,"Score","A6023","Index","Public Sector Management","Enforcement","Other","Extent of enforcement and speed of court rulings in commercial matters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD317",NA,"GOV","1125-IPD-a6023","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.387
"192",192,"1126-IPD-a6030",2195,"IPD",315,"bankruptcy law-IPD-a6030","A6030","A6030","Bankruptcy law",NA,"Score","A6030","Index","Private Sector Interface","Property rights and contracts","Other","Bankruptcy law",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD86",NA,"GOV","1126-IPD-a6030","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.22
"193",193,"1127-IPD-a6031",2500,"IPD",620,"existence of simplified legal procedures in favour of restructuring rather than liquidation-IPD-a6031","A6031","A6031","Existence of simplified legal procedures in favour of restructuring rather than liquidation?",NA,"Score","A6031","Index","Private Sector Interface","Property rights and contracts","Other","Existence of simplified legal procedures in favour of restructuring rather than liquidation?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD312",NA,"GOV","1127-IPD-a6031","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.64
"194",194,"113-IPD-b6030",2357,"IPD",477,"diversity of the land tenure system-IPD-b6030","B6030","B6030","Diversity of the land tenure system",NA,"Score","B6030","Index","Private Sector Interface","Property rights and contracts","Other","Diversity of the land tenure system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD197",NA,"GOV","113-IPD-b6030","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.48
"195",195,"113-IPU-Number.of.women.parliamentarians",3450,"IPU",1585,"hellenic parliament unicameral-IPU-Number.of.women.parliamentarians","Hellenic Parliament Unicameral","Number.of.women.parliamentarians","Hellenic Parliament Unicameral",NA,"Number of women parliamentarians","Number of women parliamentarians","Value","Checks and Balances","Legislative System","Other","Hellenic Parliament Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU26.2","31888","GOV","113-IPU-Number.of.women.parliamentarians","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",3.286
"196",196,"1130-IPD-a6050",2610,"IPD",730,"have any large public or private firms been declared bankrupt over the last five years-IPD-a6050","A6050","A6050","Have any large public or private firms been declared bankrupt over the last five years?",NA,"Score","A6050","Index","Private Sector Interface","Property rights and contracts","Other","Have any large public or private firms been declared bankrupt over the last five years?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD391",NA,"GOV","1130-IPD-a6050","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.81
"197",197,"1131-IPD-a6060",2589,"IPD",709,"generally speaking are unprofitable firms put into liquidation or kept in business-IPD-a6060","A6060","A6060","Generally speaking, are unprofitable firms put into liquidation or kept in business ?",NA,"Score","A6060","Index","Private Sector Interface","Property rights and contracts","Other","Generally speaking are unprofitable firms put into liquidation or kept in business ?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD373.1",NA,"GOV","1131-IPD-a6060","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.67
"198",198,"1132-IPD-a8000",2566,"IPD",686,"freedom of movement of nationals exit-IPD-a8000","A8000","A8000","Freedom of movement of nationals (exit)",NA,"Score","A8000","Index","Trust","Social cohesion (trust in others)","Other","Freedom of movement of nationals (exit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD358",NA,"GOV","1132-IPD-a8000","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.18
"199",199,"1133-IPD-a8001",2565,"IPD",685,"freedom of movement of foreigners entry-IPD-a8001","A8001","A8001","Freedom of movement of foreigners (entry)",NA,"Score","A8001","Index","Trust","Social cohesion (trust in others)","Other","Freedom of movement of foreigners (entry)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD357",NA,"GOV","1133-IPD-a8001","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.17
"200",200,"1134-IPD-a8002",2548,"IPD",668,"freedom of access to the foreign press no seizures-IPD-a8002","A8002","A8002","Freedom of access to the foreign press (no seizures)",NA,"Score","A8002","Index","Citizen Engagement","Civil Rights","Other","Freedom of access to the foreign press (no seizures)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD350.1",NA,"GOV","1134-IPD-a8002","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.264
"201",201,"1135-IPD-a8003",2542,"IPD",662,"freedom of access cablesatellite-IPD-a8003","A8003","A8003","Freedom of access: cablesatellite",NA,"Score","A8003","Index","Citizen Engagement","Civil Rights","Other","Freedom of access: cablesatellite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD351.1",NA,"GOV","1135-IPD-a8003","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.267
"202",202,"1136-IPD-a8004",2547,"IPD",667,"freedom of access on the internet-IPD-a8004","A8004","A8004","Freedom of access on the Internet",NA,"Score","A8004","Index","Citizen Engagement","Freedom of expression","Other","Freedom of access on the Internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD349.2",NA,"GOV","1136-IPD-a8004","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.261
"203",203,"114-IPD-b6022",2722,"IPD",842,"intellectual property intangible goods-IPD-b6022","B6022","B6022","Intellectual property: intangible goods",NA,"Score","B6022","Index","Private Sector Interface","Property rights and contracts","Other","Intellectual property: intangible goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD479",NA,"GOV","114-IPD-b6022","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.92
"204",204,"114-IPU-Number.of.women.parliamentarians",3411,"IPU",1534,"congress of the republic unicameral-IPU-Number.of.women.parliamentarians","Congress of the Republic Unicameral","Number.of.women.parliamentarians","Congress of the Republic Unicameral",NA,"Number of women parliamentarians","Number of women parliamentarians","Value","Checks and Balances","Legislative System","Other","Congress of the Republic Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU9.2","32053","GOV","114-IPU-Number.of.women.parliamentarians","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",3.184
"205",205,"114-SGI-Total",4122,"SGI",1772,"environmental policies-SGI-Total"," Environmental Policies","Total","Environmental Policies",NA,"Total","Total","Value","Public Sector Management","Service Delivery","Other","Environmental Policies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI37","SGI37","GOV","114-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",3.1
"206",206,"1142-IPD-a9000",2783,"IPD",903,"is there a strong national sense of identity in the country-IPD-a9000","A9000","A9000","Is there a strong national sense of identity in the country?",NA,"Score","A9000","Index","Trust","Social cohesion (trust in others)","Other","Is there a strong national sense of identity in the country?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD531",NA,"GOV","1142-IPD-a9000","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.27
"207",207,"1143-IPD-a9010",2762,"IPD",882,"is society capable of rallying to take up major domestic or external challenges-IPD-a9010","A9010","A9010","Is society capable of rallying to take up major domestic or external challenges?",NA,"Score","A9010","Index","Trust","Social cohesion (trust in others)","Other","Is society capable of rallying to take up major domestic or external challenges?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD510",NA,"GOV","1143-IPD-a9010","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.26
"208",208,"1144-IPD-a9011",2156,"IPD",276,"are the ruling classes capable of driving society to take up these challenges-IPD-a9011","A9011","A9011","Are the ruling classes capable of driving society to take up these challenges?",NA,"Score","A9011","Index","Trust","Social cohesion (trust in others)","Other","Are the ruling classes capable of driving society to take up these challenges?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD53",NA,"GOV","1144-IPD-a9011","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.02
"209",209,"1145-IPD-a9020",2609,"IPD",729,"has the middle classes standard of living risen or fallen over the last five years-IPD-a9020","A9020","A9020","Has the middle classes standard of living risen or fallen over the last five years?",NA,"Score","A9020","Index","Fairness and equity","Redistribution mechanism","Other","Has the middle classes standard of living risen or fallen over the last five years?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD390",NA,"GOV","1145-IPD-a9020","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.103
"210",210,"1146-IPD-a9021",2612,"IPD",732,"have the middle classes social standards risen or fallen over the last five years-IPD-a9021","A9021","A9021","Have the middle classes social standards risen or fallen over the last five years?",NA,"Score","A9021","Index","Fairness and equity","Redistribution mechanism","Other","Have the middle classes social standards risen or fallen over the last five years?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD393",NA,"GOV","1146-IPD-a9021","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.105
"211",211,"1147-IPD-a9030",2588,"IPD",708,"genderbased segregation-IPD-a9030","A9030","A9030","Genderbased segregation",NA,"Score","A9030","Index","Fairness and equity","Equal treatment","Other","Genderbased segregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD372",NA,"GOV","1147-IPD-a9030","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.98
"212",212,"1148-IPD-a9031",2470,"IPD",590,"ethnic or castebased segregation-IPD-a9031","A9031","A9031","Ethnic or castebased segregation",NA,"Score","A9031","Index","Fairness and equity","Equal treatment","Other","Ethnic or castebased segregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD286",NA,"GOV","1148-IPD-a9031","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.82
"213",213,"1149-IPD-a9032",3071,"IPD",1191,"religious segregation-IPD-a9032","A9032","A9032","Religious segregation",NA,"Score","A9032","Index","Fairness and equity","Equal treatment","Other","Religious segregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD754",NA,"GOV","1149-IPD-a9032","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.197
"214",214,"115-GCI-Value",229,"GCI",120,"Health-GCI-Value","A. Health","Value","Health",NA,"Value","Value","Index","Public Sector Management","Service Delivery","Other","Health",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI140.2","GCI140","GOV","115-GCI-Value","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",3.447
"215",215,"115-IPD-b6021",2719,"IPD",839,"intellectual property industrial counterfeiting-IPD-b6021","B6021","B6021","Intellectual property: industrial counterfeiting",NA,"Score","B6021","Index","Private Sector Interface","Property rights and contracts","Other","Intellectual property: industrial counterfeiting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD478",NA,"GOV","115-IPD-b6021","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.9
"216",216,"115-IPU-Number.of.women.parliamentarians",3543,"IPU",1684,"peoples national assembly unicameral-IPU-Number.of.women.parliamentarians","People's National Assembly Unicameral","Number.of.women.parliamentarians","People's National Assembly Unicameral",NA,"Number of women parliamentarians","Number of women parliamentarians","Value","Checks and Balances","Legislative System","Other","Peoples National Assembly Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU62.2","32008","GOV","115-IPU-Number.of.women.parliamentarians","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",5.499
"217",217,"1150-IPD-a9033",3150,"IPD",1270,"segregation based on regional identities within the country-IPD-a9033","A9033","A9033","Segregation based on regional identities within the country",NA,"Score","A9033","Index","Fairness and equity","Equal treatment","Other","Segregation based on regional identities within the country",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD815",NA,"GOV","1150-IPD-a9033","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.228
"218",218,"1151-IPD-a9042",2131,"IPD",251,"administrative formalities-IPD-a9042","A9042","A9042","Administrative formalities",NA,"Score","A9042","Index","Public Sector Management","Service Delivery","Other","Administrative formalities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD30",NA,"GOV","1151-IPD-a9042","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.106
"219",219,"1152-IPD-a9050",2120,"IPD",240,"access to state education primary and secondary-IPD-a9050","A9050","A9050","Access to state education (primary and secondary)",NA,"Score","A9050","Index","Public Sector Management","Service Delivery","Other","Access to state education (primary and secondary)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD20",NA,"GOV","1152-IPD-a9050","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.89
"220",220,"1153-IPD-a9060",2619,"IPD",739,"healthcare coverage-IPD-a9060","A9060","A9060","Healthcare coverage",NA,"Score","A9060","Index","Public Sector Management","Service Delivery","Other","Healthcare coverage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD403",NA,"GOV","1153-IPD-a9060","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.45
"221",221,"1154-IPD-a9070",3332,"IPD",1452,"traditional solidarity in urban areas-IPD-a9070","A9070","A9070","Traditional solidarity in urban areas",NA,"Score","A9070","Index","Trust","Social cohesion (trust in others)","Other","Traditional solidarity in urban areas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD946.2",NA,"GOV","1154-IPD-a9070","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.65
"222",222,"1155-IPD-a9073",3213,"IPD",1333,"solidarity from traditional informal or quasi informal religious etc institutions-IPD-a9073","A9073","A9073","Solidarity from traditional informal or quasi informal (religious, etc.) institutions",NA,"Score","A9073","Index","Trust","Social cohesion (trust in others)","Other","Solidarity from traditional informal or quasi informal (religious etc.) institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD871",NA,"GOV","1155-IPD-a9073","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.59
"223",223,"1156-IPD-a908f",3265,"IPD",1385,"subsidies on commodities-IPD-a908f","A908f","A908f","Subsidies on commodities",NA,"Score","A908F","Index","Fairness and equity","Redistribution mechanism","Other","Subsidies on commodities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD904",NA,"GOV","1156-IPD-a908f","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.256
"224",224,"1157-IPD-a9080f",2329,"IPD",449,"direct commodity price subsidies-IPD-a9080f","A9080f","A9080f","Direct commodity price subsidies",NA,"Score","A9080F","Index","Fairness and equity","Redistribution mechanism","Other","Direct commodity price subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD182",NA,"GOV","1157-IPD-a9080f","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.33
"225",225,"1158-IPD-a9081f",2877,"IPD",997,"oil deviation between local market prices and world prices-IPD-a9081f","A9081f","A9081f","Oil: deviation between local market prices and world prices",NA,"Score","A9081F","Index","Fairness and equity","Redistribution mechanism","Other","Oil: deviation between local market prices and world prices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD606",NA,"GOV","1158-IPD-a9081f","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.152
"226",226,"1159-IPD-a100",2924,"IPD",1044,"political rights and functioning of political institutions-IPD-a100","A100","A100","Political rights and functioning of political institutions",NA,"Score","A100","Index","Citizen Engagement","Civil Rights","Other","Political rights and functioning of political institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD648",NA,"GOV","1159-IPD-a100","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.409
"227",227,"116-GCI-Rank",228,"GCI",119,"Health-GCI-Rank","A. Health","Rank","Health",NA,"Rank","Rank","Value","Public Sector Management","Service Delivery","Other","Health",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI140.1","28916","GOV","116-GCI-Rank","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",3.448
"228",228,"116-IPD-b6020",2723,"IPD",843,"intellectual property trade secretsindustrial patents-IPD-b6020","B6020","B6020","Intellectual property: trade secretsindustrial patents",NA,"Score","B6020","Index","Private Sector Interface","Property rights and contracts","Other","Intellectual property: trade secretsindustrial patents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD480",NA,"GOV","116-IPD-b6020","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.94
"229",229,"116-SGI-Total",4123,"SGI",1773,"evidence-based instruments-SGI-Total"," Evidence-based Instruments","Total","Evidence-based Instruments",NA,"Total","Total","Value","Public Sector Management","Administrative and Policymaking capacity","Other","Evidence-based InstrumentsÂ¥Ã‹_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI39","SGI39","GOV","116-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",4.005
"230",230,"1160-IPD-a1001",2115,"IPD",235,"acceptance or contestation of most recent change at highest level of government-IPD-a1001","A1001","A1001","Acceptance or contestation of most recent change at highest level of government",NA,"Score","A1001","Index","Trust","Trust in Government","Other","Acceptance or contestation of most recent change at highest level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD15",NA,"GOV","1160-IPD-a1001","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.01
"231",231,"1161-IPD-a1002",2910,"IPD",1030,"participation of armed forces in political life de jure or de facto-IPD-a1002","A1002","A1002","Participation of armed forces in political life, de jure or de facto",NA,"Score","A1002","Index","Checks and Balances","Power and influence of important actors","Other","Participation of armed forces in political life de jure or de facto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD633.1",NA,"GOV","1161-IPD-a1002","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",5.491
"232",232,"1162-IPD-a150",2479,"IPD",599,"evolution of political rights in the past 3 years-IPD-a150","A150","A150","Evolution of political rights in the past 3 years",NA,"Score","A150","Index","Citizen Engagement","Civil Rights","Other","Evolution of political rights in the past 3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD293",NA,"GOV","1162-IPD-a150","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.245
"233",233,"1163-IPD-a1500",2665,"IPD",785,"in the past 3 years have these rights and this functioning in your view substantially improved moderately improved remained stable deteriorated severely deteriorated-IPD-a1500","A1500","A1500","in the past 3 years, have these rights and this functioning in your view substantially improved, moderately improved, remained stable, deteriorated, severely deteriorated?",NA,"Score","A1500","Index","Citizen Engagement","Civil Rights","Other","in the past 3 years have these rights and this functioning in your view substantially improved moderately improved remained stable deteriorated severely deteriorated?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD994",NA,"GOV","1163-IPD-a1500","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.346
"234",234,"1164-IPD-a101",2998,"IPD",1118,"public freedoms and the autonomy of the civil society-IPD-a101","A101","A101","Public freedoms and the autonomy of the civil society",NA,"Score","A101","Index","Citizen Engagement","Civil Rights","Other","Public freedoms and the autonomy of the civil society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD705",NA,"GOV","1164-IPD-a101","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.425
"235",235,"1166-IPD-a1011",2555,"IPD",675,"freedom of association-IPD-a1011","A1011","A1011","Freedom of association",NA,"Score","A1011","Index","Citizen Engagement","Civil Rights","Other","Freedom of association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD353.1",NA,"GOV","1166-IPD-a1011","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.276
"236",236,"1167-IPD-a1012",2551,"IPD",671,"freedom of assembly and demonstration-IPD-a1012","A1012","A1012","Freedom of assembly and demonstration",NA,"Score","A1012","Index","Citizen Engagement","Civil Rights","Other","Freedom of assembly and demonstration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD352.1",NA,"GOV","1167-IPD-a1012","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.272
