"","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","n_Countries","n_years","min_year","max_year"
"931","298-IPD-a1071",2812,"IPD",932,"legitimacy of the political authorities social benefit-IPD-a1071","A1071","A1071","Legitimacy of the political authorities: social benefit",NA,"A1071","A1071","Index",4.078,"Trust","Trust in Government","Other","Legitimacy of the political authorities: social benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD551",NA,"GOV","298-IPD-a1071","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"932","299-IPD-a1070",2809,"IPD",929,"legitimacy of the political authorities economic benefit-IPD-a1070","A1070","A1070","Legitimacy of the political authorities: economic benefit",NA,"A1070","A1070","Index",4.042,"Trust","Trust in Government","Other","Legitimacy of the political authorities: economic benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD549",NA,"GOV","299-IPD-a1070","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"933","3-ILO-Total",2052,"ILO",172,"active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%)-ILO-Total","SOC_CEAP_SEX_GEO_RT","Total","Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%)",NA,"Total","Total","%",4.513,"Public Sector Management","Public Expenditure Management","Other","Active contributors to an old age contributory scheme as a percent of employment by sex and rural  urban areas (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILO1.3",NA,"GOV","3-ILO-Total","The International Labour Organization is the only tripartite U.N. agency. It brings together governments, employers and workers of 187 member States , to set labour standards, develop policies and devise programmes promoting decent work for all women and men.",20,7,2005,2011
"934","3-IPD-d9081",3033,"IPD",1153,"recognition of occupational safety-IPD-d9081","D9081","D9081","Recognition of occupational safety",NA,"D9081","D9081","Index",4.06,"Fairness and equity","Social protection and labor","Other","Recognition of occupational safety",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD726",NA,"GOV","3-IPD-d9081","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"935","3-IPU-Number.of.seats",3533,"IPU",1674,"parliament unicameral-IPU-Number.of.seats","Parliament Unicameral","Number.of.seats","Parliament Unicameral",NA,"Number of seats","Number of seats","Value",4.702,"Checks and Balances","Legislative System","Other","Parliament Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU57.1","31989","GOV","3-IPU-Number.of.seats","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",14,1,2018,2018
"936","3-PEFA-Total",3843,"PEFA",2014,"composition of expenditure out-turn compared to original approved budget-PEFA-Total","composition of expenditure out-turn compared to original approved budget","Total","Composition of expenditure out-turn compared to original approved budget",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.316,"Public Sector Management","Public Expenditure Management","Other","Composition of expenditure outturn compared to original approved budget",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA5","PEFA5","GOV","3-PEFA-Total","PEFA includes 31 performance indicators across the broad array of PFM activities performed by governments. The indicators are grouped under the seven pillars. Each pillar comprises a group of indicators that capture the performance of the key systems, processes, and institutions of government.",85,11,2005,2015
"937","3-SC-Total",4074,"SC",1724,"balance of payments manual in use-SC-Total","2.04.01.01.excncpt","Total","Balance of payments manual in use",NA,"Total","Total","Value",4.971,"Public Sector Management","Administrative and Policymaking capacity","Other","Balance of payments manual in use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC3","SC3","GOV","3-SC-Total","The World Bank's Statistical Capacity Indicator is a composite score assessing the capacity of a country's statistical system. It is based on a diagnostic framework assessing the following areas: methodology, data sources, and periodicity and timeliness. Countries are scored against 25 criteria in these areas, using publicly available information and/or country input. The overall Statistical Capacity score is then being calculated as simple average of all three area scores on a scale of 0-100.",141,13,2004,2016
"938","3-SGI-Total",4161,"SGI",1811,"multilateral environmental agreements-SGI-Total"," Multilateral Environmental Agreements","Total"," Multilateral Environmental Agreements",NA,"Total","Total","Value",4.992,"Public Sector Management","Service Delivery","Other","Multilateral Environmental Agreements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI100","SGI100","GOV","3-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",40,4,2014,2017
"939","3-TI-CPI",4222,"TI",1872,"cpi score-TI-CPI","CPI","CPI","CPI Score",NA,"CPI","CPI","Value",4.108,"Absence of Corruption","Perception","Other","Corruption Perception Index CPI Score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TI1.1",NA,"GOV","3-TI-CPI","The CPI 2017 is calculated using 13 different data sources from 12 different institutions that capture perceptions of corruption within the past two years. 

The data sources are standardized to a scale of 0-100 where a 0 equals the highest level of perceived corruption and 100 equals the lowest level of perceived corruption.",170,3,2012,2014
"940","3-WGI-Rank",4285,"WGI",1878,"control of corruption-WGI-Rank","Control of Corruption","Rank","Control of Corruption",NA,"Percentile Rank","Percentile Rank","Percentile Rank",3.002,"Investment","Risk and Policy Uncertainty","Corruption Incidence","Control of Corruption",NA,"Absence of Corruption","Prevention and sanction","Other","Control of Corruption","",NA,"General Governance","Overall Governance","Other","Control of Corruption",NA,NA,"GOV","3-WGI-Rank","These aggregated indicators combine the views of a large number of enterprise, citizen and expert survey respondents in industrial and developing countries.  The WGI compile and summarize information from over 30 existing data sources that report the views and experiences of citizens, entrepreneurs, and experts in the public, private and NGO sectors from around the world, on the quality of various aspects of governance.",196,18,1996,2016
"941","3-WJP-Total",4325,"WJP",1928,"criminal system is free of corruption-WJP-Total","8.5","Total","Criminal system is free of corruption",NA,"Total","Total","Value",4.972,"Checks and Balances","Judiciary System","Other","Criminal system is free of corruption (85)","4.002","Absence of Corruption","Prevention and sanction","Other","Criminal system is free of corruption (85)",NA,"4.003","Absence of Corruption","Incidence","Other","Criminal system is free of corruption (85)","WJP63","WJP63","GOV","3-WJP-Total","The World Justice Project developed the conceptual framework summarized in the Index's 9 factors and 47 sub-factors, in consultation with academics, practitioners, and community leaders from around the world. The Index team developed a set of five questionnaires based on the Index's conceptual framework, to be administered to experts and the general public.",112,5,2013,2018
"942","30-ILO-Total",2078,"ILO",198,"share of population above statutory pensionable age receiving a contributory old age pension by sex and rural / urban areas (%)-ILO-Total","SOC_PPEN_SEX_GEO_RT","Total","Share of population above statutory pensionable age receiving a contributory old age pension by sex and rural / urban areas (%)",NA,"Total","Total","%",4.218,"Public Sector Management","Public Expenditure Management","Other","Share of population above statutory pensionable age receiving a contributory old age pension by sex and rural  urban areas (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILO24.3",NA,"GOV","30-ILO-Total","The International Labour Organization is the only tripartite U.N. agency. It brings together governments, employers and workers of 187 member States , to set labour standards, develop policies and devise programmes promoting decent work for all women and men.",20,7,2005,2011
"943","30-IPD-d7011",3188,"IPD",1308,"social dialogue effectiveness at national level-IPD-d7011","D7011","D7011","Social dialogue effectiveness at national level",NA,"D7011","D7011","Index",4.041,"Fairness and equity","Social protection and labor","Other","Social dialogue effectiveness at national level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD852",NA,"GOV","30-IPD-d7011","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"944","30-IPU-Number.of.seats",3566,"IPU",1710,"the danish parliament unicameral-IPU-Number.of.seats","The Danish Parliament Unicameral","Number.of.seats","The Danish Parliament Unicameral",NA,"Number of seats","Number of seats","Value",4.025,"Checks and Balances","Legislative System","Other","The Danish Parliament Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU71.1","32037","GOV","30-IPU-Number.of.seats","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",1,1,2018,2018
"945","30-PEFA-Total",3885,"PEFA",2056,"multiyear perspective in fiscal planning expenditure policy and budgeting-PEFA-Total","multiyear perspective in fiscal planning expenditure policy and budgeting","Total","Multiyear perspective in fiscal planning expenditure policy and budgeting",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.265,"Public Sector Management","Public Expenditure Management","Other","Multiyear perspective in fiscal planning expenditure policy and budgeting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA16","PEFA16","GOV","30-PEFA-Total","PEFA includes 31 performance indicators across the broad array of PFM activities performed by governments. The indicators are grouped under the seven pillars. Each pillar comprises a group of indicators that capture the performance of the key systems, processes, and institutions of government.",84,11,2005,2015
"946","30-SGI-Total",4178,"SGI",1828,"policy performance-SGI-Total"," Policy Performance","Total"," Policy Performance",NA,"Total","Total","Value",5.1,"Public Sector Management","Public Expenditure Management","Other","Policy Performance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI125","SGI125","GOV","30-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",40,4,2014,2017
"947","30-WGI-Estimate",4293,"WGI",1886,"political stability no violence-WGI-Estimate","Political Stability No Violence","Estimate","Political Stability No Violence",NA,"Estimate","Estimate","Estimate",3.002,"Investment","Risk and Policy Uncertainty","Governance","Political Stability No Violence",NA,"Investment","FCS Investment Trends","Institutional Resilience","Risk and Policy Uncertainty","Political Stability No Violence",NA,"Security","Crime","Other","Political Stability No Violence",NA,NA,"GOV","30-WGI-Estimate","These aggregated indicators combine the views of a large number of enterprise, citizen and expert survey respondents in industrial and developing countries.  The WGI compile and summarize information from over 30 existing data sources that report the views and experiences of citizens, entrepreneurs, and experts in the public, private and NGO sectors from around the world, on the quality of various aspects of governance.",198,18,1996,2016
"948","30-WJP-Total",4331,"WJP",1938,"freedom from arbitrary interference with privacy is effectively guaranteed-WJP-Total","4.6","Total","Freedom from arbitrary interference with privacy is effectively guaranteed",NA,"Total","Total","Value",4.231,"Citizen Engagement","Civil Rights","Other","Freedom from arbitrary interference with privacy is effectively guaranteed (46)",NA,"","","","",NA,NA,"","","","","WJP33","WJP33","GOV","30-WJP-Total","The World Justice Project developed the conceptual framework summarized in the Index's 9 factors and 47 sub-factors, in consultation with academics, practitioners, and community leaders from around the world. The Index team developed a set of five questionnaires based on the Index's conceptual framework, to be administered to experts and the general public.",112,5,2013,2018
"949","300-IPD-a1061",2895,"IPD",1015,"opposition to the most recent change of head of state population-IPD-a1061","A1061","A1061","Opposition to the most recent change of Head of State: population",NA,"A1061","A1061","Index",4.031,"Trust","Trust in Government","Other","Opposition to the most recent change of Head of State: population",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD622",NA,"GOV","300-IPD-a1061","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"950","301-IPD-a1060",2894,"IPD",1014,"opposition to the most recent change of head of state political forces-IPD-a1060","A1060","A1060","Opposition to the most recent change of Head of State: political forces",NA,"A1060","A1060","Index",4.067,"Trust","Trust in Government","Other","Opposition to the most recent change of Head of State: political forces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD621",NA,"GOV","301-IPD-a1060","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"951","302-IPD-a1051",2164,"IPD",284,"assumption of political office in accordance with the rules-IPD-a1051","A1051","A1051","Assumption of political office in accordance with the rules",NA,"A1051","A1051","Index",4.647,"Public Sector Management","Enforcement","Other","Assumption of political office in accordance with the rules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD62",NA,"GOV","302-IPD-a1051","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"952","303-IPD-a1050",2139,"IPD",259,"amendment of the rules governing the assumption of political office-IPD-a1050","A1050","A1050","Amendment of the rules governing the assumption of political office",NA,"A1050","A1050","Index",4.418,"Public Sector Management","Enforcement","Other","Amendment of the rules governing the assumption of political office",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD38",NA,"GOV","303-IPD-a1050","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"953","304-IPD-a1042",2545,"IPD",665,"freedom of access on the internet-IPD-a1042","A1042","A1042","Freedom of access on the Internet",NA,"A1042","A1042","Index",4.335,"Citizen Engagement","Freedom of expression","Other","Freedom of access on the Internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD349.1",NA,"GOV","304-IPD-a1042","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"954","305-IPD-a1041",2595,"IPD",715,"genuine media pluralism-IPD-a1041","A1041","A1041","Genuine media pluralism",NA,"A1041","A1041","Index",4.08,"Citizen Engagement","Freedom of expression","Other","Genuine media pluralism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD377",NA,"GOV","305-IPD-a1041","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"955","306-IPD-a1040",2568,"IPD",688,"freedom of the press-IPD-a1040","A1040","A1040","Freedom of the Press",NA,"A1040","A1040","Index",4.426,"Citizen Engagement","Freedom of expression","Other","Freedom of the Press",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD359",NA,"GOV","306-IPD-a1040","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"956","307-IPD-a1033",3094,"IPD",1214,"respect for the rights of minorities-IPD-a1033","A1033","A1033","Respect for the rights of minorities",NA,"A1033","A1033","Index",4.057,"Fairness and equity","Equal treatment","Other","Respect for the rights of minorities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD772",NA,"GOV","307-IPD-a1033","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"957","308-IPD-a1032",2465,"IPD",585,"equal treatment-IPD-a1032","A1032","A1032","Equal treatment",NA,"A1032","A1032","Index",4.097,"Fairness and equity","Equal treatment","Other","Equal treatment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD276",NA,"GOV","308-IPD-a1032","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"958","309-IPD-a1031",2552,"IPD",672,"freedom of assembly and demonstration-IPD-a1031","A1031","A1031","Freedom of assembly and demonstration",NA,"A1031","A1031","Index",4.236,"Citizen Engagement","Civil Rights","Other","Freedom of assembly and demonstration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD352.2",NA,"GOV","309-IPD-a1031","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"959","31-GCI-Value",225,"GCI",116,"Government efficiency-GCI-Value","4. Government efficiency","Value","Government efficiency",NA,"Value","Value","Index",2.06,"General Governance","Overall Governance","Other","Government efficiency",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI69.2","GCI69","GOV","31-GCI-Value","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",147,11,2007,2017
"960","31-ILO-Total",2082,"ILO",202,"share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)-ILO-Total","SOC_PPEN_SEX_TYP_RT","Total","Share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)",NA,"Total","Total","%",4.223,"Public Sector Management","Public Expenditure Management","Other","Share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILO25.3",NA,"GOV","31-ILO-Total","The International Labour Organization is the only tripartite U.N. agency. It brings together governments, employers and workers of 187 member States , to set labour standards, develop policies and devise programmes promoting decent work for all women and men.",163,14,2000,2013
"961","31-IPD-d7010",3190,"IPD",1310,"social dialogue effectiveness within companies-IPD-d7010","D7010","D7010","Social dialogue effectiveness within companies",NA,"D7010","D7010","Index",4.211,"Fairness and equity","Social protection and labor","Other","Social dialogue effectiveness within companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD853",NA,"GOV","31-IPD-d7010","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"962","31-IPU-Number.of.seats",3455,"IPU",1590,"house of assembly unicameral-IPU-Number.of.seats","House of Assembly Unicameral","Number.of.seats","House of Assembly Unicameral",NA,"Number of seats","Number of seats","Value",4.151,"Checks and Balances","Legislative System","Other","House of Assembly Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU28.1","31893","GOV","31-IPU-Number.of.seats","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",3,1,2018,2018
"963","31-PEFA-Total",3893,"PEFA",2064,"preparation of multi year fiscal forecasts and functional allocations-PEFA-Total","preparation of multi year fiscal forecasts and functional allocations","Total","Preparation of multi year fiscal forecasts and functional allocations",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.103,"Public Sector Management","Public Expenditure Management","Other","Preparation of multi year fiscal forecasts and functional allocations (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA51","PEFA51","GOV","31-PEFA-Total","PEFA includes 31 performance indicators across the broad array of PFM activities performed by governments. The indicators are grouped under the seven pillars. Each pillar comprises a group of indicators that capture the performance of the key systems, processes, and institutions of government.",83,11,2005,2015
"964","31-SGI-Total",4179,"SGI",1829,"political liberties-SGI-Total"," Political Liberties","Total"," Political Liberties",NA,"Total","Total","Value",2.07,"Political Accountability","Political Parties","Other","Political Liberties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI126","SGI126","GOV","31-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",40,4,2014,2017
"965","31-WGI-Upper",4312,"WGI",1905,"voice and accountability-WGI-Upper","Voice and Accountability","Upper","Voice and Accountability",NA,"upper_bound","Upper Bound","Index Upper Bound",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability",NA,NA,"GOV","31-WGI-Upper","These aggregated indicators combine the views of a large number of enterprise, citizen and expert survey respondents in industrial and developing countries.  The WGI compile and summarize information from over 30 existing data sources that report the views and experiences of citizens, entrepreneurs, and experts in the public, private and NGO sectors from around the world, on the quality of various aspects of governance.",198,18,1996,2016
"966","31-WJP-Total",4333,"WJP",1940,"freedom of belief and religion is effectively guaranteed-WJP-Total","4.5","Total","Freedom of belief and religion is effectively guaranteed",NA,"Total","Total","Value",2.01,"Citizen Engagement","Civil Rights","Other","Freedom of belief and religion is effectively guaranteed (45)",NA,"","","","",NA,NA,"","","","","WJP32","WJP32","GOV","31-WJP-Total","The World Justice Project developed the conceptual framework summarized in the Index's 9 factors and 47 sub-factors, in consultation with academics, practitioners, and community leaders from around the world. The Index team developed a set of five questionnaires based on the Index's conceptual framework, to be administered to experts and the general public.",112,5,2013,2018
"967","310-IPD-a1030",2557,"IPD",677,"freedom of association-IPD-a1030","A1030","A1030","Freedom of association",NA,"A1030","A1030","Index",4.119,"Citizen Engagement","Civil Rights","Other","Freedom of association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD353.2",NA,"GOV","310-IPD-a1030","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"968","311-GCI-Value",235,"GCI",126,"Innovation and sophistication factors-GCI-Value","Innovation and sophistication factors","Value","Innovation and sophistication factors",NA,"Value","Value","Index",4.774,"Public Sector Management","Innovation","Other","Innovation and sophistication factors",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI161.2","GCI161","GOV","311-GCI-Value","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",147,11,2007,2017
"969","311-IPD-a1022",2927,"IPD",1047,"population participation local level-IPD-a1022","A1022","A1022","Population participation (local level)",NA,"A1022","A1022","Index",4.114,"Citizen Engagement","Civil Society Participation","Other","Population participation (local level)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD650",NA,"GOV","311-IPD-a1022","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"970","312-GCI-Rank",234,"GCI",125,"Innovation and sophistication factors-GCI-Rank","Innovation and sophistication factors","Rank","Innovation and sophistication factors",NA,"Rank","Rank","Value",4.774,"Public Sector Management","Innovation","Other","Innovation and sophistication factors",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI161.1","28940","GOV","312-GCI-Rank","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",147,11,2007,2017
"971","312-IPD-a1021",2928,"IPD",1048,"population participation national level-IPD-a1021","A1021","A1021","Population participation (national level)",NA,"A1021","A1021","Index",4.133,"Citizen Engagement","Civil Society Participation","Other","Population participation (national level)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD651",NA,"GOV","312-IPD-a1021","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"972","313-IPD-a1020",2920,"IPD",1040,"political or social expression via itc-IPD-a1020","A1020","A1020","Political or Social expression via ITC",NA,"A1020","A1020","Index",4.441,"Citizen Engagement","Civil Society Participation","Other","Political or Social expression via ITC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD640",NA,"GOV","313-IPD-a1020","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"973","314-IPD-a1011",2748,"IPD",868,"involvement of the military in politics-IPD-a1011","A1011","A1011","Involvement of the military in politics",NA,"A1011","A1011","Index",5.04,"Checks and Balances","Power and influence of important actors","Other","Involvement of the military in politics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD499",NA,"GOV","314-IPD-a1011","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"974","315-IPD-a1010",2688,"IPD",808,"influence of organizations-IPD-a1010","A1010","A1010","Influence of organizations",NA,"A1010","A1010","Index",5.216,"Checks and Balances","Power and influence of important actors","Other","Influence of organizations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD455",NA,"GOV","315-IPD-a1010","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"975","316-IPD-a1003",2909,"IPD",1029,"oversight institutions-IPD-a1003","A1003","A1003","Oversight institutions",NA,"A1003","A1003","Index",4.772,"Checks and Balances","Oversight institutions","Other","Oversight institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD632",NA,"GOV","316-IPD-a1003","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"976","317-IPD-a1002",3075,"IPD",1195,"representative institutions-IPD-a1002","A1002","A1002","Representative Institutions",NA,"A1002","A1002","Index",5.624,"Checks and Balances","Legislative System","Other","Representative Institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD756",NA,"GOV","317-IPD-a1002","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"977","318-IPD-a1001",2437,"IPD",557,"electoral processes-IPD-a1001","A1001","A1001","Electoral processes",NA,"A1001","A1001","Index",4.019,"Political Accountability","Elections","Other","Electoral processes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD266",NA,"GOV","318-IPD-a1001","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"978","319-IPD-a1000",2539,"IPD",659,"freedom and legality of elections-IPD-a1000","A1000","A1000","Freedom and legality of elections",NA,"A1000","A1000","Index",4.228,"Political Accountability","Elections","Other","Freedom and legality of elections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD347",NA,"GOV","319-IPD-a1000","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",146,5,2001,2016
"979","32-GCI-Rank",224,"GCI",115,"Government efficiency-GCI-Rank","4. Government efficiency","Rank","Government efficiency",NA,"Rank","Rank","Value",2.06,"General Governance","Overall Governance","Other","Government efficiency",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI69.1","28960","GOV","32-GCI-Rank","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",147,11,2007,2017
"980","32-ILO-Female",2080,"ILO",200,"share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)-ILO-Female","SOC_PPEN_SEX_TYP_RT","Female","Share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)",NA,"Female","Female","%",4.223,"Public Sector Management","Public Expenditure Management","Other","Share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILO25.1",NA,"GOV","32-ILO-Female","The International Labour Organization is the only tripartite U.N. agency. It brings together governments, employers and workers of 187 member States , to set labour standards, develop policies and devise programmes promoting decent work for all women and men.",42,6,2000,2013
