overlap;Indicator_Id;Indicator_Code;Indicator_Name;Display_Name;Dataset;Value_Type_Slug;Value_Type_Descriptor;Units;Description;Rank_1;Category_11;Category_12;Category_13;Category_14;Category_15;Rank_2;Category_21;Category_22;Category_23;Category_24;Category_25;Rank_3;Category_31;Category_32;Category_33;Category_34;answer
GOV;Global_Integrity1066;Global_Integrity1066;68b;In practice the financial records of publicly listed companies are regularly updated (68b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.180;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1067;Global_Integrity1067;68c;In law basic business regulatory requirements for meeting public safety standards are transparent and publicly available (68c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.537;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1068;Global_Integrity1068;68c;In practice the financial records of publicly listed companies are audited according to international accounting standards (68c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.527;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1069;Global_Integrity1069;68c;In practice citizens can use the appeals mechanism at a reasonable cost (68c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.163;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity107;Global_Integrity107;14c;In practice all citizens are able to form political parties (14c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.561;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1070;Global_Integrity1070;68c;In practice the agency series of agencies or equivalent mechanism overseeing stateowned companies receives regular funding (68c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.122;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1071;Global_Integrity1071;68d;In practice citizens can access the records of disciplinary decisions involving publiclylisted companies (68d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.096;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1072;Global_Integrity1072;68d;In practice when necessary the agency series of agencies or equivalent mechanism overseeing stateowned companies independently initiates investigations (68d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.859;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1073;Global_Integrity1073;68e;In practice citizens can access the financial records of publicly listed companies within a reasonable time period (68e);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.010;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1074;Global_Integrity1074;68e;In practice when necessary the agency series of agencies or equivalent mechanism overseeing stateowned companies imposes penalties on offenders (68e);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.596;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1075;Global_Integrity1075;68f;In practice citizens can access the financial records of publicly listed companies at a reasonable cost (68f);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.232;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1076;Global_Integrity1076;69;Are business licenses available to all citizens? (69);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.890;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1077;Global_Integrity1077;69;Can citizens access the financial records of stateowned companies? (69);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.382;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1078;Global_Integrity1078;69;In practice do judgments in the criminal system follow written law? (69);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.660;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1079;Global_Integrity1079;69a;In law business licenses are not restricted to domestically owned enterprises (69a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.715;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity108;Global_Integrity108;14c;In practice elections are held according to a regular schedule (14c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.446;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1080;Global_Integrity1080;69a;In law citizens can access the financial records of stateowned companies (69a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.728;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1081;Global_Integrity1081;69a;In practice business inspections by government officials to ensure public health standards are being met are carried out in a uniform and evenhanded manner (69a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.235;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1082;Global_Integrity1082;69b;In law a complaint mechanism exists if a business license request is denied (69b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.609;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1083;Global_Integrity1083;69b;In practice business inspections by government officials to ensure public environmental standards are being met are carried out in a uniform and evenhanded manner (69b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.619;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1084;Global_Integrity1084;69b;In practice the financial records of stateowned companies are regularly updated (69b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.283;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1085;Global_Integrity1085;69c;In practice business inspections by government officials to ensure public safety standards are being met are carried out in a uniform and evenhanded manner (69c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.287;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1086;Global_Integrity1086;69c;In practice citizens can obtain any necessary business license ie for a small import business within a reasonable time period (69c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.932;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1087;Global_Integrity1087;69c;In practice the financial records of stateowned companies are audited according to international accounting standards (69c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.049;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1088;Global_Integrity1088;69d;In practice citizens can access the financial records of stateowned companies within a reasonable time period (69d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.179;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1089;Global_Integrity1089;69d;In practice citizens can obtain any necessary business license ie for a small import business at a reasonable cost (69d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.720;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity109;Global_Integrity109;14d;In practice all citizens can run for political office (14d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.589;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1090;Global_Integrity1090;69e;In practice citizens can access the financial records of stateowned companies at a reasonable cost (69e);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.878;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1091;Global_Integrity1091;6;Anti-Corruption Legal Framework Judicial Impartiality and Law Enforcement Professionalism (6);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.246;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1092;Global_Integrity1092;6;Are citizens able to form media entities? (6);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.387;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1093;Global_Integrity1093;6;Are citizens able to form print media entities? (6);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.739;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1094;Global_Integrity1094;6;In law do citizens have a right of access to information? (6);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.039;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1095;Global_Integrity1095;6a;In law do citizens have a right of access information and basic government records? (6a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.052;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1096;Global_Integrity1096;6a;In practice the government does not create barriers to form a media entity (6a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.136;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1097;Global_Integrity1097;6a;In practice the government does not create barriers to form a print media entity (6a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.294;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1098;Global_Integrity1098;6b;In law do citizens have a right of appeal if access to a basic government record is denied? (6b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.011;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1099;Global_Integrity1099;6b;In law where a media license is necessary there is an appeal mechanism if a license is denied or revoked (6b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.917;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity11;Global_Integrity11;04b;In practice citizens are able to organize into trade unions (04b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.053;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity110;Global_Integrity110;14e;In practice an opposition party is represented in the legislature (14e);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.205;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1100;Global_Integrity1100;6b;In law where a print media license is necessary there is an appeal mechanism if a license is denied or revoked (6b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.414;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1101;Global_Integrity1101;6b;In law where a print media license is necessary there is an appeals mechanism if a license is denied or revoked (6b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.043;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1102;Global_Integrity1102;6c;In practice where necessary citizens can obtain a media license within a reasonable time period (6c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.541;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1103;Global_Integrity1103;6c;In practice where necessary citizens can obtain a print media license within a reasonable time period (6c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.645;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1104;Global_Integrity1104;6d;In practice where necessary citizens can obtain a media license at a reasonable cost (6d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.020;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1105;Global_Integrity1105;6d;In practice where necessary citizens can obtain a print media license at a reasonable cost (6d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.947;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1106;Global_Integrity1106;70;Are business licenses available to all citizens? (70);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.046;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1107;Global_Integrity1107;70;In law is there legislation criminalizing corruption? (70);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.861;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1108;Global_Integrity1108;70;In practice are judicial decisions enforced by the state? (70);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.205;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1109;Global_Integrity1109;70a;In law anyone may apply for a business license (70a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.429;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity111;Global_Integrity111;15;Can all citizens exercise their right to vote? (15);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.449;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1110;Global_Integrity1110;70a;In law attempted corruption is illegal (70a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.113;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1111;Global_Integrity1111;70b;In law a complaint mechanism exists if a business license request is denied (70b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.736;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1112;Global_Integrity1112;70b;In law extortion is illegal (70b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.637;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1113;Global_Integrity1113;70c;In law offering a bribe ie active corruption is illegal (70c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.240;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1114;Global_Integrity1114;70c;In practice citizens can obtain any necessary business license ie for a small import business within a reasonable time period (70c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.889;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1115;Global_Integrity1115;70d;In law receiving a bribe ie passive corruption is illegal (70d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.802;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1116;Global_Integrity1116;70d;In practice citizens can obtain any necessary business license ie for a small import business at a reasonable cost (70d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.698;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1117;Global_Integrity1117;70e;In law bribing a foreign official is illegal (70e);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.404;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1118;Global_Integrity1118;70e;In law bribing a foreign official while in domestic territory is illegal (70e);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.065;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1119;Global_Integrity1119;70f;In law using public resources for private gain is illegal (70f);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.221;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity112;Global_Integrity112;15;Do citizens participate in the political process? (15);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.965;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1120;Global_Integrity1120;70g;In law using confidential state information for private gain is illegal (70g);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.287;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1121;Global_Integrity1121;70h;In law money laundering is illegal (70h);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.905;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1122;Global_Integrity1122;70i;In law conspiracy to commit a crime ie organized crime is illegal (70i);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.832;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1123;Global_Integrity1123;71;Are there transparent business regulatory requirements for basic health environmental and safety standards? (71);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.329;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1124;Global_Integrity1124;71;In law is there an agency or group of agencies with a legal mandate to address corruption? (71);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.076;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1125;Global_Integrity1125;71;In practice are anticorruption laws enforced? (71);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.351;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1126;Global_Integrity1126;71;Is the judiciary able to act independently? (71);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.038;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1127;Global_Integrity1127;71a;In law basic business regulatory requirements for meeting public health standards are transparent and publicly available (71a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.453;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1128;Global_Integrity1128;71a;In law the independence of the judiciary is guaranteed (71a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.717;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1129;Global_Integrity1129;71b;In law basic business regulatory requirements for meeting public environmental standards are transparent and publicly available (71b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.543;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity113;Global_Integrity113;15;In law is there an election monitoring agency or set of election monitoring agenciesentities? (15);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.105;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1130;Global_Integrity1130;71b;In practice national-level judges are protected from political interference (71b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.708;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1131;Global_Integrity1131;71c;In law basic business regulatory requirements for meeting public safety standards are transparent and publicly available (71c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.705;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1132;Global_Integrity1132;71c;In law there is a transparent and objective system for distributing cases to nationallevel judges (71c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.618;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1133;Global_Integrity1133;71d;In law nationallevel judges are protected from removal without relevant justification (71d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.133;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1134;Global_Integrity1134;72;Are judges safe when adjudicating corruption cases? (72);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.589;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1135;Global_Integrity1135;72;Does government effectively enforce basic health environmental and safety standards on businesses? (72);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.225;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1136;Global_Integrity1136;72;In law is there an agency or group of agencies with a legal mandate to address corruption? (72);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.722;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1137;Global_Integrity1137;72a;In law the anticorruption agency or agencies is protected from political interference (72a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.872;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1138;Global_Integrity1138;72a;In practice business inspections by government officials to ensure public health standards are being met and are carried out in a uniform and evenhanded manner (72a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.906;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1139;Global_Integrity1139;72a;In practice business inspections by government officials to ensure public health standards are being met are carried out in a uniform and evenhanded manner (72a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.428;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity114;Global_Integrity114;15a;In practice all adult citizens can vote (15a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.207;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1140;Global_Integrity1140;72a;In practice in the last year no judges have been physically harmed because of adjudicating corruption cases (72a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.588;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1141;Global_Integrity1141;72b;In practice business inspections by government officials to ensure public environmental standards are being met are carried out in a uniform and evenhanded manner (72b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.321;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1142;Global_Integrity1142;72b;In practice in the last year no judges have been killed because of adjudicating corruption cases (72b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.043;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1143;Global_Integrity1143;72b;In practice the anticorruption agency or agencies is protected from political interference (72b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.470;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1144;Global_Integrity1144;72c;In practice business inspections by government officials to ensure public safety standards are being met are carried out in a uniform and evenhanded manner (72c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.901;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1145;Global_Integrity1145;72c;In practice the head of the anticorruption agency or agencies is protected from removal without relevant justification (72c);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.786;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1146;Global_Integrity1146;72d;In practice appointments to the anticorruption agency or agencies are based on professional criteria (72d);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.159;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1147;Global_Integrity1147;72e;In practice the anticorruption agency or agencies has a professional fulltime staff (72e);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.508;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1148;Global_Integrity1148;72f;In practice the anticorruption agency or agencies receives regular funding (72f);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.119;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1149;Global_Integrity1149;72g;In practice the anticorruption agency or agencies makes regular public reports (72g);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.245;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity115;Global_Integrity115;15a;In practice all citizens have a right to form political parties (15a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.224;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1150;Global_Integrity1150;72h;In practice the anticorruption agency or agencies has sufficient powers to carry out its mandate (72h);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.670;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1151;Global_Integrity1151;72i;In practice when necessary the anticorruption agency or agencies independently initiates investigations (72i);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.644;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1152;Global_Integrity1152;73;Do citizens have equal access to the justice system? (73);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.131;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1153;Global_Integrity1153;73;Is the main anticorruption agency effective? (73);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.386;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1154;Global_Integrity1154;73;Is there legislation criminalizing corruption? (73);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;5.626;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1155;Global_Integrity1155;73a;In law attempted corruption is illegal (73a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.549;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1156;Global_Integrity1156;73a;In law the agency is protected from political interference (73a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.570;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1157;Global_Integrity1157;73a;In practice judicial decisions are not affected by racial or ethnic bias (73a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.018;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1158;Global_Integrity1158;73a;In practice the anticorruption agency or agencies acts on complaints within a reasonable time period (73a);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.183;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1159;Global_Integrity1159;73b;In law extortion is illegal (73b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.310;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity116;Global_Integrity116;15b;In practice all citizens have a right to run for public office (15b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.537;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1160;Global_Integrity1160;73b;In practice citizens can complain to the anticorruption agency or agencies without fear of recrimination (73b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.176;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1161;Global_Integrity1161;73b;In practice the agency is protected from political interference (73b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.216;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
GOV;Global_Integrity1162;Global_Integrity1162;73b;In practice women have full access to the judicial system (73b);Global_Integrity;Question source's code in parenthesis;Question source's code in parenthesis;Index;;4.229;Checks and Balances;Oversight institutions;;;;.;;;;;;.;;;;;Total
